"",BBK01.CELFI3,BBK01.CELFI3_FLAGS
"",long-term loans                                              debtor: Households (incl. NPISH)  creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:35,
1999-01,16.7,
1999-04,17.8,
1999-07,21.0,
1999-10,18.6,
2000-01,4.0,
2000-04,11.2,
2000-07,13.2,
2000-10,10.4,
2001-01,0.9,
2001-04,6.2,
2001-07,8.4,
2001-10,7.1,
2002-01,-1.2,
2002-04,5.3,
2002-07,7.2,
2002-10,6.4,
2003-01,0.9,
2003-04,4.6,
2003-07,9.1,
2003-10,6.0,
2004-01,-7.1,
2004-04,7.2,
2004-07,9.3,
2004-10,-0.1,
2005-01,-7.9,
2005-04,3.4,
2005-07,5.9,
2005-10,3.1,
2006-01,-7.2,
2006-04,1.4,
2006-07,4.2,
2006-10,-3.4,
2007-01,-8.3,
2007-04,-3.9,
2007-07,-0.9,
2007-10,-6.4,
2008-01,-8.1,
2008-04,0.2,
2008-07,-1.3,
2008-10,-5.2,
2009-01,-8.5,
2009-04,1.3,
2009-07,5.2,
2009-10,1.3,
2010-01,-5.9,
2010-04,4.5,
2010-07,6.5,
2010-10,3.3,
2011-01,-3.6,
2011-04,4.1,
2011-07,7.1,
2011-10,3.9,
2012-01,-1.2,
2012-04,5.5,
2012-07,7.4,
2012-10,4.2,
2013-01,-2.1,
2013-04,5.7,
2013-07,8.4,
2013-10,2.8,
2014-01,-0.4,
2014-04,5.6,
2014-07,10.7,
