"",BBFB1.Q.N.DE.US.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:49,
1991-01,2097.335,
1991-04,1961.997,
1991-07,1841.065,
1991-10,2125.353,
1992-01,1842.372,
1992-04,1827.971,
1992-07,1926.191,
1992-10,1839.531,
1993-01,1844.334,
1993-04,2012.903,
1993-07,1788.536,
1993-10,1813.489,
1994-01,1478.427,
1994-04,1445.999,
1994-07,1254.382,
1994-10,1417.302,
1995-01,1711.578,
1995-04,1734.171,
1995-07,1677.252,
1995-10,1864.054,
1996-01,1973.408,
1996-04,2072.954,
1996-07,2082.119,
1996-10,2543.728,
1997-01,2521.494,
1997-04,2702.844,
1997-07,2640.786,
1997-10,2893.944,
1998-01,2736.646,
1998-04,3319.321,
1998-07,3342.593,
1998-10,3516.774,
1999-01,1997.646,
1999-04,3521.617,
1999-07,2149.736,
1999-10,2778.732,
2000-01,3947.717,
2000-04,3592.986,
2000-07,3697.959,
2000-10,4477.892,
2001-01,2121.230,
2001-04,2179.372,
2001-07,1842.476,
2001-10,1950.550,
2002-01,2689.463,
2002-04,2576.039,
2002-07,2302.276,
2002-10,2115.271,
2003-01,2332.152,
2003-04,2375.554,
2003-07,2333.507,
2003-10,2262.042,
2004-01,3624.205,
2004-04,3434.877,
2004-07,3580.602,
2004-10,3944.482,
2005-01,4425.844,
2005-04,4439.379,
2005-07,4711.645,
2005-10,4878.553,
2006-01,5378.480,
2006-04,5144.901,
2006-07,5166.195,
2006-10,5507.461,
2007-01,4490.878,
2007-04,4228.961,
2007-07,4092.768,
2007-10,4503.684,
2008-01,3584.915,
2008-04,4048.376,
2008-07,3938.595,
2008-10,3820.458,
2009-01,3966.558,
2009-04,3772.575,
2009-07,3626.979,
2009-10,3522.184,
2010-01,3893.370,
2010-04,3913.333,
2010-07,3831.158,
2010-10,3901.170,
2011-01,4053.625,
2011-04,3999.887,
2011-07,3988.617,
2011-10,4069.468,
2012-01,4130.937,
2012-04,4024.752,
2012-07,3984.184,
2012-10,4090.034,
2013-01,2459.486,
2013-04,2277.234,
2013-07,2136.910,
2013-10,2280.133,
2014-01,2390.573,Provisional value
2014-04,2630.935,Provisional value
2014-07,2036.123,Provisional value
