"",BBK01.OEAC52L,BBK01.OEAC52L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:12,
2002-01,3.555,
2002-04,3.569,
2002-07,3.530,
2002-10,4.430,
2003-01,4.421,
2003-04,4.385,
2003-07,4.424,
2003-10,4.395,
2004-01,4.352,
2004-04,4.681,
2004-07,4.460,
2004-10,4.548,
2005-01,4.704,
2005-04,4.581,
2005-07,4.541,
2005-10,4.493,
2006-01,4.607,
2006-04,4.882,
2006-07,4.544,
2006-10,4.521,
2007-01,4.537,
2007-04,4.489,
2007-07,4.358,
2007-10,4.479,
2008-01,4.679,
2008-04,4.989,
2008-07,5.038,
2008-10,4.992,
2009-01,4.969,
2009-04,5.185,
2009-07,4.746,
2009-10,4.712,
2010-01,4.786,
2010-04,4.787,
2010-07,5.277,
2010-10,5.354,
2011-01,5.317,
2011-04,5.240,
2011-07,5.299,
2011-10,5.594,
2012-01,5.516,
2012-04,5.577,
2012-07,5.424,
2012-10,5.524,
2013-01,5.422,
2013-04,5.318,
2013-07,5.240,
2013-10,5.323,
2014-01,5.007,
2014-04,5.073,
2014-07,5.069,
