"",BBK01.OEAJ04L,BBK01.OEAJ04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:19,
2002-01,20.722,
2002-04,24.026,
2002-07,26.482,
2002-10,25.412,
2003-01,25.403,
2003-04,27.125,
2003-07,32.135,
2003-10,30.232,
2004-01,25.811,
2004-04,25.943,
2004-07,26.397,
2004-10,29.204,
2005-01,28.610,
2005-04,34.748,
2005-07,35.123,
2005-10,30.910,
2006-01,37.313,
2006-04,36.249,
2006-07,38.441,
2006-10,33.131,
2007-01,32.689,
2007-04,35.062,
2007-07,38.080,
2007-10,47.130,
2008-01,47.530,
2008-04,48.223,
2008-07,44.082,
2008-10,49.759,
2009-01,48.190,
2009-04,40.632,
2009-07,42.285,
2009-10,38.102,
2010-01,37.551,
2010-04,38.580,
2010-07,36.656,
2010-10,38.620,
2011-01,31.831,
2011-04,53.524,
2011-07,48.297,
2011-10,46.489,
2012-01,37.720,
2012-04,37.290,
2012-07,32.333,
2012-10,34.958,
2013-01,40.253,
2013-04,53.750,
2013-07,21.300,
2013-10,21.967,
2014-01,24.550,
2014-04,22.746,
2014-07,25.108,
