"",BBK01.OELI05R,BBK01.OELI05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:54,
2002-01,0.020,
2002-04,0.016,
2002-07,0.016,
2002-10,0.022,
2003-01,0.018,
2003-04,0.017,
2003-07,0.019,
2003-10,0.021,
2004-01,0.019,
2004-04,0.017,
2004-07,0.018,
2004-10,0.015,
2005-01,0.020,
2005-04,0.018,
2005-07,0.022,
2005-10,0.020,
2006-01,0.019,
2006-04,0.028,
2006-07,0.028,
2006-10,0.029,
2007-01,0.031,
2007-04,0.033,
2007-07,0.032,
2007-10,0.027,
2008-01,0.025,
2008-04,0.024,
2008-07,0.024,
2008-10,0.024,
2009-01,0.024,
2009-04,0.021,
2009-07,0.022,
2009-10,0.031,
2010-01,0.034,
2010-04,0.034,
2010-07,0.035,
2010-10,0.037,
2011-01,0.041,
2011-04,0.044,
2011-07,0.050,
2011-10,0.049,
2012-01,0.048,
2012-04,0.047,
2012-07,0.046,
2012-10,0.038,
2013-01,0.039,
2013-04,0.038,
2013-07,0.038,
2013-10,0.038,
2014-01,0.065,
2014-04,0.061,
2014-07,0.060,
