"",BBEX3.M.HNL.EUR.CA.AA.A01,BBEX3.M.HNL.EUR.CA.AA.A01_FLAGS
"",Exchange rates (comparable rates) for the euro in Honduras * / EUR 1 = HNL ... (buying),
unit,HNL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:46,
1999-01,15.7872,
1999-02,15.3372,
1999-03,15.0310,
1999-04,14.8849,
1999-05,14.7779,
1999-06,14.6581,
1999-07,15.2311,
1999-08,15.1345,
1999-09,15.3244,
1999-10,15.0570,
1999-11,14.6069,
1999-12,14.5706,
2000-01,14.6946,comment
2000-02,14.2067,
2000-03,14.0094,
2000-04,13.3641,
2000-05,13.7591,
2000-06,14.1571,
2000-07,13.7477,
2000-08,13.3070,
2000-09,13.1601,
2000-10,12.4855,
2000-11,13.1233,
2000-12,14.0787,
2001-01,14.1068,
2001-02,14.0823,
2001-03,13.4973,
2001-04,13.6091,
2001-05,13.0483,
2001-06,13.0998,
2001-07,13.5731,
2001-08,14.2390,
2001-09,14.2844,
2001-10,14.2527,
2001-11,14.1042,
2001-12,14.0300,
2002-01,13.8413,
2002-02,13.9362,
2002-03,14.1252,
2002-04,14.6521,
2002-05,15.3388,
2002-06,16.3868,
2002-07,16.1422,
2002-08,16.3044,
2002-09,16.4397,
2002-10,16.5497,
2002-11,16.7176,
2002-12,17.7475,
2003-01,18.3842,
2003-02,18.3969,
2003-03,18.6765,
2003-04,19.1547,
2003-05,20.3971,
2003-06,19.8135,
2003-07,19.7132,
2003-08,19.1051,
2003-09,20.4658,
2003-10,20.4977,
2003-11,21.2231,
2003-12,22.4160,
2004-01,22.0657,
2004-02,22.2030,
2004-03,21.9849,
2004-04,21.5835,
2004-05,22.1210,
2004-06,22.1236,
2004-07,22.0060,
2004-08,22.2387,
2004-09,22.8837,
2004-10,23.5826,
2004-11,24.6755,
2004-12,25.3759,
2005-01,24.3755,
2005-02,24.8569,
2005-03,24.3464,
2005-04,24.4110,
2005-05,23.2563,
2005-06,22.8055,
2005-07,22.8195,
2005-08,23.0176,
2005-09,22.7473,
2005-10,22.7235,
2005-11,22.2434,
2005-12,22.2963,
2006-01,22.9030,
2006-02,22.4438,
2006-03,22.8766,
2006-04,23.6949,
2006-05,24.3205,
2006-06,24.0276,
2006-07,24.1296,
2006-08,24.2884,
2006-09,24.0276,
2006-10,23.9954,
2006-11,24.9480,
2006-12,24.8913,
2007-01,24.4831,
2007-02,24.9688,
2007-03,25.1710,
2007-04,25.7135,
2007-05,25.4262,
2007-06,25.5245,
2007-07,25.9062,
2007-08,25.9025,
2007-09,26.7983,
2007-10,27.3048,
2007-11,27.8983,
2007-12,27.8227,
2008-01,28.1043,
2008-02,28.6656,
2008-03,29.8847,
2008-04,29.4794,
2008-05,29.3411,
2008-06,29.7940,
2008-07,29.5048,
2008-08,27.8492,
2008-09,27.0327,
2008-10,24.1045,
2008-11,24.0478,
2008-12,26.2963,
2009-01,24.2160,
2009-02,23.8910,
2009-03,25.1456,
2009-04,25.0832,
2009-05,26.6383,
2009-06,26.7063,
2009-07,26.7139,
2009-08,26.9671,
2009-09,27.6681,
2009-10,27.9647,
2009-11,28.3861,
2009-12,27.2203,
2010-01,26.3889,
2010-02,25.6407,
2010-03,25.4688,
2010-04,25.1588,
2010-05,23.2542,
2010-06,23.1862,
2010-07,24.6165,
2010-08,23.9590,
2010-09,25.7880,
2010-10,26.1829,
2010-11,24.5599,
2010-12,25.2476,
2011-01,25.8712,
2011-02,26.1395,
2011-03,26.8443,
2011-04,28.0781,
2011-05,27.1806,
2011-06,27.3091,
2011-07,26.7723,
2011-08,27.2897,
2011-09,25.6036,
2011-10,26.6354,
2011-11,25.4560,
2011-12,24.6467,
2012-01,25.1970,
2012-02,25.8091,
2012-03,25.7480,
2012-04,25.5509,
2012-05,24.0818,
2012-06,24.5412,
2012-07,24.0436,
2012-08,24.7903,
2012-09,25.5131,
2012-10,25.7335,
2012-11,25.8260,
2012-12,26.3383,
2013-01,27.1556,
2013-02,26.4107,
2013-03,25.8411,
2013-04,26.4790,
2013-05,26.4541,
2013-06,26.7047,
2013-07,27.1649,
2013-08,27.0977,
2013-09,27.7483,
2013-10,28.0196,
2013-11,28.0189,
2013-12,28.4060,
2014-01,27.9049,
2014-02,28.5787,
2014-03,28.6119,
2014-04,28.8141,
2014-05,28.3835,
2014-06,28.6433,
2014-07,28.0677,
2014-08,27.8318,
2014-09,26.7208,
2014-10,26.6828,
2014-11,26.7430,
2014-12,26.1182,
2015-01,24.5428,
"","Source: Since March 2003: Banco Central de Honduras, Tegucigalpa 1999 - February 2003: Dresdner Bank Lateinamerika AG, Hamburg.",
"",Methodology: * We do not have any data from Honduras on euro exchange rates; the comparable rates were calculated on the basis of exchange rates for the US dollar in Honduras in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.,
"",Comment on 2000-01: Calculated using the US dollar exchange rate on 21 January 2000.,
