"",BBK01.OECL01M,BBK01.OECL01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:20,
2002-01,3.118,
2002-04,3.076,
2002-07,2.984,
2002-10,3.226,
2003-01,3.182,
2003-04,3.048,
2003-07,3.114,
2003-10,3.173,
2004-01,2.983,
2004-04,2.980,
2004-07,3.149,
2004-10,3.779,
2005-01,8.815,
2005-04,8.853,
2005-07,8.718,
2005-10,8.796,
2006-01,8.762,
2006-04,8.695,
2006-07,8.574,
2006-10,8.699,
2007-01,8.901,
2007-04,9.069,
2007-07,9.049,
2007-10,9.530,
2008-01,9.740,
2008-04,9.876,
2008-07,10.320,
2008-10,11.054,
2009-01,11.161,
2009-04,11.372,
2009-07,11.379,
2009-10,11.113,
2010-01,10.908,
2010-04,10.895,
2010-07,10.890,
2010-10,10.843,
2011-01,10.745,
2011-04,10.676,
2011-07,10.676,
2011-10,10.789,
2012-01,11.403,
2012-04,11.519,
2012-07,11.479,
2012-10,11.325,
2013-01,11.100,
2013-04,11.112,
2013-07,10.915,
2013-10,10.963,
2014-01,10.910,
2014-04,10.905,
2014-07,11.143,
