"",BBDA1.M.DE.N.IM.S.A.US.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.US.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / United States / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:44,
1990-07,1497109,
1990-08,1599087,
1990-09,1245327,
1990-10,1635304,
1990-11,1528270,
1990-12,1502958,
1991-01,1689627,
1991-02,1561077,
1991-03,1579652,
1991-04,2312132,
1991-05,1946342,
1991-06,1766614,
1991-07,2291032,
1991-08,1680760,
1991-09,1643411,
1991-10,1759960,
1991-11,1743292,
1991-12,1613029,
1992-01,2250241,
1992-02,1686219,
1992-03,2121010,
1992-04,2062000,
1992-05,1725192,
1992-06,1564711,
1992-07,1975959,
1992-08,1491091,
1992-09,1469225,
1992-10,1732145,
1992-11,1693223,
1992-12,1886138,
1993-01,1444532,
1993-02,1763620,
1993-03,2058260,
1993-04,1838287,
1993-05,1658539,
1993-06,1700311,
1993-07,1587486,
1993-08,1611648,
1993-09,1603816,
1993-10,1733298,
1993-11,1726291,
1993-12,1900552,
1994-01,1864238,
1994-02,1705165,
1994-03,2154594,
1994-04,1891756,
1994-05,1905046,
1994-06,1988894,
1994-07,1789493,
1994-08,1746895,
1994-09,1708770,
1994-10,2042352,
1994-11,1941197,
1994-12,2105734,
1995-01,1828702,
1995-02,1967576,
1995-03,2175710,
1995-04,1746444,
1995-05,1999859,
1995-06,1863624,
1995-07,1703810,
1995-08,1771787,
1995-09,1872457,
1995-10,2108469,
1995-11,2025780,
1995-12,2091843,
1996-01,1885517,
1996-02,1997813,
1996-03,2243811,
1996-04,2091599,
1996-05,2106963,
1996-06,2173141,
1996-07,2124074,
1996-08,2034037,
1996-09,2070561,
1996-10,2274973,
1996-11,2268037,
1996-12,2032393,
1997-01,2362183,
1997-02,2085752,
1997-03,2376020,
1997-04,3118591,
1997-05,2441397,
1997-06,2389464,
1997-07,2594224,
1997-08,2299762,
