"",BBEX3.M.IDR.USD.CA.AB.A01,BBEX3.M.IDR.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Indonesia / USD 1 = IDR ... (selling),
unit,IDR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:57,
1970-04,378.50,
1970-05,378.50,
1970-06,378.50,
1970-07,378.50,
1970-08,378.50,
1970-09,378.50,
1970-10,378.50,
1970-11,378.50,
1970-12,378.50,
1971-01,378.50,
1971-02,378.50,
1971-03,378.50,
1971-04,378.50,
1971-05,378.50,
1971-06,378.50,
1971-07,378.50,
1971-08,416.00,
1971-09,416.00,
1971-10,416.00,
1971-11,416.00,
1971-12,416.00,
1972-01,416.00,
1972-02,416.00,
1972-03,416.00,
1972-04,416.00,
1972-05,416.00,
1972-06,416.00,
1972-07,416.00,
1972-08,416.00,
1972-09,416.00,
1972-10,416.00,
1972-11,416.00,
1972-12,416.00,
1973-01,416.00,
1973-02,416.00,
1973-03,416.00,
1973-04,416.00,
1973-05,416.00,
1973-06,416.00,
1973-07,416.00,
1973-08,416.00,
1973-09,416.00,
1973-10,416.00,
1973-11,416.00,
1973-12,416.00,
1974-01,416.00,
1974-02,416.00,
1974-03,416.00,
1974-04,416.00,
1974-05,416.00,
1974-06,416.00,
1974-07,416.00,
1974-08,416.00,
1974-09,416.00,
1974-10,416.00,
1974-11,416.00,
1974-12,416.00,
1975-01,416.00,
1975-02,416.00,
1975-03,416.00,
1975-04,416.00,
1975-05,416.00,
1975-06,416.00,
1975-07,416.00,
1975-08,416.00,
1975-09,416.00,
1975-10,416.00,
1975-11,416.00,
1975-12,416.00,
1976-01,416.00,
1976-02,416.00,
1976-03,416.00,
1976-04,416.00,
1976-05,416.00,
1976-06,416.00,
1976-07,416.00,
1976-08,416.00,
1976-09,416.00,
1976-10,416.00,
1976-11,416.00,
1976-12,416.00,
1977-01,416.00,
1977-02,416.00,
1977-03,416.00,
1977-04,416.00,
1977-05,416.00,
1977-06,416.00,
1977-07,416.00,
1977-08,416.00,
1977-09,416.00,
1977-10,416.00,
1977-11,416.00,
1977-12,416.00,
1978-01,416.00,
1978-02,416.00,
1978-03,416.00,
1978-04,416.00,
1978-05,416.00,
1978-06,416.00,
1978-07,416.00,
1978-08,416.00,
1978-09,416.00,
1978-10,416.00,
1978-11,627.00,
1978-12,623.00,
1979-01,624.00,
1979-02,624.25,
1979-03,625.50,
1979-04,627.25,
1979-05,628.25,
1979-06,627.75,
1979-07,627.50,
1979-08,627.75,
1979-09,627.50,
1979-10,629.25,
1979-11,629.25,
