"",BBEE1.D.I7.AAA.XZE01B.A.AABAN.M00,BBEE1.D.I7.AAA.XZE01B.A.AABAN.M00_FLAGS
"",Nominal effective exchange rate of the euro against the currencies of the EER-20 group,
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:39,
1993-01-04,95.7554,
1993-01-05,95.5465,
1993-01-06,.,No value available
1993-01-07,95.3998,
1993-01-08,95.4377,
1993-01-09,.,No value available
1993-01-10,.,No value available
1993-01-11,95.8231,
1993-01-12,96.2482,
1993-01-13,96.0605,
1993-01-14,96.2996,
1993-01-15,96.3541,
1993-01-16,.,No value available
1993-01-17,.,No value available
1993-01-18,.,No value available
1993-01-19,96.7850,
1993-01-20,97.2266,
1993-01-21,97.0967,
1993-01-22,.,No value available
1993-01-23,.,No value available
1993-01-24,.,No value available
1993-01-25,98.2252,
1993-01-26,98.5400,
1993-01-27,98.3561,
1993-01-28,98.3956,
1993-01-29,97.9283,
1993-01-30,.,No value available
1993-01-31,.,No value available
1993-02-01,97.0582,
1993-02-02,96.8420,
1993-02-03,96.7400,
1993-02-04,96.1022,
1993-02-05,95.8353,
1993-02-06,.,No value available
1993-02-07,.,No value available
1993-02-08,96.2919,
1993-02-09,96.1524,
1993-02-10,96.1556,
1993-02-11,95.6584,
1993-02-12,96.0702,
1993-02-13,.,No value available
1993-02-14,.,No value available
1993-02-15,.,No value available
1993-02-16,96.0753,
1993-02-17,96.4243,
1993-02-18,95.9942,
1993-02-19,95.9218,
1993-02-20,.,No value available
1993-02-21,.,No value available
1993-02-22,95.8265,
1993-02-23,95.8813,
1993-02-24,96.3538,
1993-02-25,96.3197,
1993-02-26,95.8874,
1993-02-27,.,No value available
1993-02-28,.,No value available
1993-03-01,95.7012,
1993-03-02,95.9468,
1993-03-03,95.6885,
1993-03-04,95.7911,
1993-03-05,95.2995,
1993-03-06,.,No value available
1993-03-07,.,No value available
1993-03-08,94.8875,
1993-03-09,94.7599,
1993-03-10,94.6826,
1993-03-11,94.6592,
1993-03-12,94.8487,
1993-03-13,.,No value available
1993-03-14,.,No value available
1993-03-15,94.9109,
1993-03-16,94.8323,
1993-03-17,94.6214,
1993-03-18,94.5200,
1993-03-19,95.1196,
1993-03-20,.,No value available
1993-03-21,.,No value available
1993-03-22,95.0500,
1993-03-23,95.4359,
1993-03-24,95.6153,
1993-03-25,95.3944,
1993-03-26,95.2906,
1993-03-27,.,No value available
1993-03-28,.,No value available
1993-03-29,95.4674,
1993-03-30,95.4405,
1993-03-31,95.8887,
1993-04-01,95.7822,
1993-04-02,96.0419,
1993-04-03,.,No value available
1993-04-04,.,No value available
1993-04-05,96.0925,
1993-04-06,95.9612,
1993-04-07,95.7856,
1993-04-08,95.6590,
1993-04-09,.,No value available
1993-04-10,.,No value available
1993-04-11,.,No value available
1993-04-12,.,No value available
1993-04-13,96.4182,
1993-04-14,96.4655,
1993-04-15,95.9055,
1993-04-16,95.8569,
1993-04-17,.,No value available
1993-04-18,.,No value available
1993-04-19,95.6883,
1993-04-20,96.2225,
1993-04-21,95.7872,
1993-04-22,95.7276,
1993-04-23,95.9696,
1993-04-24,.,No value available
1993-04-25,.,No value available
1993-04-26,96.7205,
1993-04-27,96.3933,
1993-04-28,96.4626,
1993-04-29,96.9240,
1993-04-30,96.7046,
1993-05-01,.,No value available
1993-05-02,.,No value available
1993-05-03,96.5281,
1993-05-04,97.0484,
1993-05-05,.,No value available
1993-05-06,96.8597,
1993-05-07,96.9666,
1993-05-08,.,No value available
1993-05-09,.,No value available
1993-05-10,96.6231,
1993-05-11,96.0884,
1993-05-12,96.2188,
1993-05-13,95.8556,
1993-05-14,96.1132,
1993-05-15,.,No value available
1993-05-16,.,No value available
1993-05-17,96.1426,
1993-05-18,95.6588,
1993-05-19,95.6474,
1993-05-20,.,No value available
1993-05-21,95.2970,
1993-05-22,.,No value available
1993-05-23,.,No value available
1993-05-24,94.8774,
1993-05-25,94.9686,
1993-05-26,94.8519,
1993-05-27,94.9774,
1993-05-28,95.7780,
1993-05-29,.,No value available
1993-05-30,.,No value available
1993-05-31,.,No value available
1993-06-01,95.8697,
1993-06-02,96.0724,
1993-06-03,95.9303,
1993-06-04,95.8883,
1993-06-05,.,No value available
1993-06-06,.,No value available
1993-06-07,95.3925,
1993-06-08,95.4542,
1993-06-09,95.0686,
1993-06-10,94.8665,
1993-06-11,94.8587,
1993-06-12,.,No value available
1993-06-13,.,No value available
1993-06-14,95.1524,
1993-06-15,95.0911,
1993-06-16,94.5493,
1993-06-17,94.2675,
1993-06-18,94.0477,
1993-06-19,.,No value available
1993-06-20,.,No value available
1993-06-21,93.8801,
1993-06-22,.,No value available
1993-06-23,93.4932,
1993-06-24,93.1405,
1993-06-25,92.9094,
1993-06-26,.,No value available
1993-06-27,.,No value available
1993-06-28,92.5016,
1993-06-29,93.1345,
1993-06-30,92.9541,
1993-07-01,92.7952,
1993-07-02,92.9819,
1993-07-03,.,No value available
1993-07-04,.,No value available
1993-07-05,.,No value available
1993-07-06,92.8236,
1993-07-07,92.8380,
1993-07-08,92.7598,
1993-07-09,92.2954,
1993-07-10,.,No value available
1993-07-11,.,No value available
1993-07-12,91.9419,
1993-07-13,92.0005,
1993-07-14,91.6501,
1993-07-15,91.7850,
1993-07-16,91.6475,
1993-07-17,.,No value available
1993-07-18,.,No value available
1993-07-19,92.2289,
1993-07-20,92.1478,
1993-07-21,92.2454,
1993-07-22,91.7837,
1993-07-23,91.4396,
1993-07-24,.,No value available
1993-07-25,.,No value available
1993-07-26,91.0705,
1993-07-27,91.3972,
1993-07-28,91.3790,
1993-07-29,91.4489,
1993-07-30,90.2354,
1993-07-31,.,No value available
1993-08-01,.,No value available
1993-08-02,90.3984,
1993-08-03,90.9777,
1993-08-04,91.3063,
1993-08-05,91.0893,
1993-08-06,91.1756,
1993-08-07,.,No value available
1993-08-08,.,No value available
1993-08-09,91.4702,
1993-08-10,91.0607,
1993-08-11,90.9386,
1993-08-12,90.9076,
1993-08-13,90.9706,
1993-08-14,.,No value available
1993-08-15,.,No value available
1993-08-16,91.1516,
1993-08-17,91.5199,
1993-08-18,91.5915,
1993-08-19,91.6453,
1993-08-20,92.2632,
1993-08-21,.,No value available
1993-08-22,.,No value available
1993-08-23,92.2039,
1993-08-24,92.3792,
1993-08-25,92.4719,
1993-08-26,92.7233,
1993-08-27,92.8257,
1993-08-28,.,No value available
1993-08-29,.,No value available
1993-08-30,92.9237,
1993-08-31,93.0533,
1993-09-01,93.2916,
1993-09-02,93.5736,
1993-09-03,93.7753,
1993-09-04,.,No value available
1993-09-05,.,No value available
1993-09-06,.,No value available
1993-09-07,94.3772,
1993-09-08,94.4085,
1993-09-09,94.9123,
1993-09-10,95.2405,
1993-09-11,.,No value available
1993-09-12,.,No value available
1993-09-13,95.4784,
1993-09-14,95.2311,
1993-09-15,95.7354,
1993-09-16,95.6022,
1993-09-17,94.8446,
1993-09-18,.,No value available
1993-09-19,.,No value available
1993-09-20,94.8582,
1993-09-21,95.4088,
1993-09-22,94.6790,
1993-09-23,94.5239,
1993-09-24,93.9366,
1993-09-25,.,No value available
1993-09-26,.,No value available
1993-09-27,94.8619,
1993-09-28,94.7953,
1993-09-29,95.5463,
1993-09-30,94.9164,
1993-10-01,94.6348,
1993-10-02,.,No value available
1993-10-03,.,No value available
1993-10-04,94.9626,
1993-10-05,94.9469,
1993-10-06,94.7802,
1993-10-07,94.7957,
1993-10-08,95.1771,
1993-10-09,.,No value available
1993-10-10,.,No value available
1993-10-11,.,No value available
1993-10-12,95.7441,
1993-10-13,95.3991,
1993-10-14,95.1796,
1993-10-15,95.0727,
1993-10-16,.,No value available
1993-10-17,.,No value available
1993-10-18,95.0073,
1993-10-19,94.6204,
1993-10-20,94.3681,
1993-10-21,94.2169,
1993-10-22,93.9425,
1993-10-23,.,No value available
1993-10-24,.,No value available
1993-10-25,93.8052,
1993-10-26,93.5116,
1993-10-27,93.7259,
1993-10-28,93.2746,
1993-10-29,93.6534,
1993-10-30,.,No value available
1993-10-31,.,No value available
1993-11-01,.,No value available
1993-11-02,92.9070,
1993-11-03,93.0811,
1993-11-04,93.2205,
1993-11-05,92.9819,
1993-11-06,.,No value available
1993-11-07,.,No value available
1993-11-08,93.3302,
1993-11-09,93.2199,
1993-11-10,93.0314,
1993-11-11,.,No value available
1993-11-12,92.7691,
1993-11-13,.,No value available
1993-11-14,.,No value available
1993-11-15,92.8597,
1993-11-16,92.7266,
1993-11-17,92.4664,
1993-11-18,92.4646,
1993-11-19,92.4743,
1993-11-20,.,No value available
1993-11-21,.,No value available
1993-11-22,92.6179,
1993-11-23,92.5493,
1993-11-24,92.7470,
1993-11-25,.,No value available
1993-11-26,92.4238,
1993-11-27,.,No value available
1993-11-28,.,No value available
1993-11-29,92.4407,
1993-11-30,92.4084,
1993-12-01,92.1566,
1993-12-02,92.0400,
1993-12-03,91.8972,
1993-12-04,.,No value available
1993-12-05,.,No value available
1993-12-06,92.4067,
1993-12-07,92.6140,
1993-12-08,92.6877,
1993-12-09,92.6560,
1993-12-10,92.9867,
1993-12-11,.,No value available
1993-12-12,.,No value available
1993-12-13,92.8961,
1993-12-14,92.5516,
1993-12-15,92.5597,
1993-12-16,92.6255,
1993-12-17,92.7988,
1993-12-18,.,No value available
1993-12-19,.,No value available
1993-12-20,92.7625,
1993-12-21,93.0434,
1993-12-22,93.1981,
1993-12-23,93.3449,
1993-12-24,93.3784,
1993-12-25,.,No value available
1993-12-26,.,No value available
1993-12-27,93.0908,
1993-12-28,93.0930,
1993-12-29,92.5230,
1993-12-30,92.4219,
1993-12-31,92.2244,
1994-01-01,.,No value available
1994-01-02,.,No value available
1994-01-03,94.2199,
1994-01-04,94.2961,
1994-01-05,94.3517,
1994-01-06,94.1677,
1994-01-07,94.0662,
1994-01-08,.,No value available
1994-01-09,.,No value available
1994-01-10,94.2064,
1994-01-11,93.9774,
1994-01-12,93.9956,
1994-01-13,93.7380,
1994-01-14,93.3921,
1994-01-15,.,No value available
1994-01-16,.,No value available
1994-01-17,.,No value available
1994-01-18,93.4353,
1994-01-19,93.6080,
1994-01-20,93.6847,
1994-01-21,93.6695,
1994-01-22,.,No value available
1994-01-23,.,No value available
1994-01-24,93.4464,
1994-01-25,93.4957,
1994-01-26,93.5976,
1994-01-27,93.6027,
1994-01-28,93.8990,
1994-01-29,.,No value available
1994-01-30,.,No value available
1994-01-31,93.5840,
1994-02-01,93.8613,
1994-02-02,93.9048,
1994-02-03,93.7352,
1994-02-04,93.6394,
1994-02-05,.,No value available
1994-02-06,.,No value available
1994-02-07,93.1657,
1994-02-08,93.2932,
1994-02-09,93.5048,
1994-02-10,93.5920,
1994-02-11,93.7578,
1994-02-12,.,No value available
1994-02-13,.,No value available
1994-02-14,93.6086,
1994-02-15,93.9197,
1994-02-16,94.0775,
1994-02-17,94.0123,
1994-02-18,94.4494,
1994-02-19,.,No value available
1994-02-20,.,No value available
1994-02-21,.,No value available
1994-02-22,94.0545,
1994-02-23,94.1640,
1994-02-24,94.0400,
1994-02-25,94.5060,
1994-02-26,.,No value available
1994-02-27,.,No value available
1994-02-28,94.3832,
1994-03-01,94.8864,
1994-03-02,94.6466,
1994-03-03,94.4791,
1994-03-04,94.4526,
1994-03-05,.,No value available
1994-03-06,.,No value available
1994-03-07,94.3074,
1994-03-08,94.4286,
1994-03-09,94.6271,
1994-03-10,95.2699,
1994-03-11,95.6014,
1994-03-12,.,No value available
1994-03-13,.,No value available
1994-03-14,95.4416,
1994-03-15,95.3069,
1994-03-16,95.3784,
1994-03-17,95.8009,
1994-03-18,95.5052,
1994-03-19,.,No value available
1994-03-20,.,No value available
1994-03-21,95.3442,
1994-03-22,95.7242,
1994-03-23,95.6448,
1994-03-24,95.9767,
1994-03-25,96.4444,
1994-03-26,.,No value available
1994-03-27,.,No value available
1994-03-28,96.2369,
1994-03-29,96.4145,
1994-03-30,96.1906,
1994-03-31,96.5170,
1994-04-01,.,No value available
1994-04-02,.,No value available
1994-04-03,.,No value available
1994-04-04,.,No value available
1994-04-05,95.7510,
1994-04-06,95.0957,
1994-04-07,95.2642,
1994-04-08,95.3221,
1994-04-09,.,No value available
1994-04-10,.,No value available
1994-04-11,95.3265,
1994-04-12,94.9258,
1994-04-13,94.8922,
1994-04-14,95.2550,
1994-04-15,95.2565,
1994-04-16,.,No value available
1994-04-17,.,No value available
1994-04-18,95.1740,
1994-04-19,95.4981,
1994-04-20,95.6369,
1994-04-21,95.7544,
1994-04-22,95.7477,
