"",BBK01.OEBL04U,BBK01.OEBL04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:25,
2002-01,0.279,
2002-04,0.269,
2002-07,0.259,
2002-10,0.258,
2003-01,0.233,
2003-04,0.234,
2003-07,0.225,
2003-10,0.236,
2004-01,0.206,
2004-04,0.198,
2004-07,0.195,
2004-10,0.147,
2005-01,0.188,
2005-04,0.179,
2005-07,0.174,
2005-10,0.159,
2006-01,0.167,
2006-04,0.162,
2006-07,0.166,
2006-10,0.227,
2007-01,0.259,
2007-04,0.263,
2007-07,0.277,
2007-10,0.338,
2008-01,0.379,
2008-04,0.393,
2008-07,0.486,
2008-10,0.516,
2009-01,0.447,
2009-04,0.443,
2009-07,0.332,
2009-10,0.281,
2010-01,0.213,
2010-04,0.235,
2010-07,0.168,
2010-10,0.139,
2011-01,0.150,
2011-04,0.148,
2011-07,0.157,
2011-10,0.204,
2012-01,0.220,
2012-04,0.240,
2012-07,0.179,
2012-10,0.134,
2013-01,0.125,
2013-04,0.106,
2013-07,0.094,
2013-10,0.088,
2014-01,0.092,
2014-04,0.091,
2014-07,0.070,
