"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.DK.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.DK.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Denmark,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:17,
2009-09,490,
2009-10,466,
2009-11,466,
2009-12,476,
2010-01,615,
2010-02,621,
2010-03,643,
2010-04,662,
2010-05,609,
2010-06,673,
2010-07,723,
2010-08,623,
2010-09,615,
2010-10,639,
2010-11,622,
2010-12,670,
2011-01,659,
2011-02,649,
2011-03,638,
2011-04,618,
2011-05,615,
2011-06,555,
2011-07,533,
2011-08,407,
2011-09,394,
2011-10,417,
2011-11,415,
2011-12,416,
2012-01,401,
2012-02,429,
2012-03,420,
2012-04,446,
2012-05,426,
2012-06,414,
2012-07,451,
2012-08,464,
2012-09,470,
2012-10,477,
2012-11,497,
2012-12,509,
2013-01,572,
2013-02,603,
2013-03,598,
2013-04,615,
2013-05,622,
2013-06,607,
2013-07,677,
2013-08,694,
2013-09,732,
2013-10,784,
2013-11,833,
2013-12,865,
2014-01,899,
2014-02,978,
2014-03,970,
2014-04,975,
2014-05,1034,
2014-06,1082,
2014-07,1096,
2014-08,1105,
2014-09,1169,
2014-10,1174,
2014-11,1133,
