"",BBK01.OEYI03M,BBK01.OEYI03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:49,
2002-01,48.527,
2002-04,48.757,
2002-07,48.356,
2002-10,49.090,
2003-01,49.945,
2003-04,50.488,
2003-07,51.452,
2003-10,48.203,
2004-01,49.517,
2004-04,52.048,
2004-07,52.719,
2004-10,54.495,
2005-01,55.499,
2005-04,57.238,
2005-07,59.108,
2005-10,60.157,
2006-01,60.684,
2006-04,59.820,
2006-07,61.327,
2006-10,62.130,
2007-01,62.544,
2007-04,61.739,
2007-07,62.128,
2007-10,64.134,
2008-01,65.043,
2008-04,64.879,
2008-07,65.976,
2008-10,67.574,
2009-01,66.675,
2009-04,63.167,
2009-07,63.439,
2009-10,60.980,
2010-01,61.522,
2010-04,60.934,
2010-07,62.802,
2010-10,60.736,
2011-01,62.804,
2011-04,62.167,
2011-07,62.627,
2011-10,64.179,
2012-01,64.743,
2012-04,66.658,
2012-07,62.262,
2012-10,62.830,
2013-01,58.700,
2013-04,60.155,
2013-07,56.063,
2013-10,57.175,
2014-01,58.108,
2014-04,56.597,
2014-07,58.153,
