"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.SK.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.SK.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Slovakia,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:40,
2009-09,565,
2009-10,540,
2009-11,543,
2009-12,541,
2010-01,536,
2010-02,425,
2010-03,407,
2010-04,513,
2010-05,553,
2010-06,551,
2010-07,578,
2010-08,610,
2010-09,568,
2010-10,728,
2010-11,691,
2010-12,655,
2011-01,646,
2011-02,656,
2011-03,616,
2011-04,660,
2011-05,626,
2011-06,633,
2011-07,635,
2011-08,661,
2011-09,669,
2011-10,657,
2011-11,585,
2011-12,588,
2012-01,649,
2012-02,652,
2012-03,729,
2012-04,774,
2012-05,803,
2012-06,812,
2012-07,835,
2012-08,874,
2012-09,913,
2012-10,966,
2012-11,1077,
2012-12,1076,
2013-01,1365,
2013-02,1464,
2013-03,1437,
2013-04,1485,
2013-05,1533,
2013-06,1351,
2013-07,1367,
2013-08,1324,
2013-09,1302,
2013-10,1430,
2013-11,1603,
2013-12,1601,
2014-01,1917,
2014-02,1952,
2014-03,1962,
2014-04,1998,
2014-05,1959,
2014-06,2111,
2014-07,2103,
2014-08,2179,
2014-09,2187,
2014-10,2283,
2014-11,2318,
