"",BBK01.OEHO02H,BBK01.OEHO02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:53,
2002-01,5.009,
2002-04,3.840,
2002-07,3.822,
2002-10,4.302,
2003-01,4.952,
2003-04,3.463,
2003-07,3.994,
2003-10,4.518,
2004-01,4.444,
2004-04,3.986,
2004-07,3.885,
2004-10,4.443,
2005-01,4.268,
2005-04,3.292,
2005-07,3.231,
2005-10,3.989,
2006-01,4.156,
2006-04,3.641,
2006-07,3.443,
2006-10,4.048,
2007-01,3.994,
2007-04,3.202,
2007-07,3.138,
2007-10,3.491,
2008-01,3.350,
2008-04,2.752,
2008-07,2.766,
2008-10,3.646,
2009-01,5.256,
2009-04,5.072,
2009-07,4.523,
2009-10,4.768,
2010-01,4.363,
2010-04,3.566,
2010-07,3.281,
2010-10,3.280,
2011-01,3.590,
2011-04,3.155,
2011-07,2.638,
2011-10,2.734,
2012-01,2.840,
2012-04,2.809,
2012-07,2.884,
2012-10,2.985,
2013-01,2.983,
2013-04,2.378,
2013-07,2.347,
2013-10,2.432,
2014-01,2.443,
2014-04,2.253,
2014-07,2.131,
