"",BBK01.OEXI02V,BBK01.OEXI02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:39,
2002-01,1.783,
2002-04,1.807,
2002-07,1.866,
2002-10,2.038,
2003-01,2.016,
2003-04,2.064,
2003-07,2.128,
2003-10,2.214,
2004-01,2.245,
2004-04,2.131,
2004-07,2.212,
2004-10,2.382,
2005-01,2.281,
2005-04,2.446,
2005-07,2.430,
2005-10,2.473,
2006-01,2.468,
2006-04,2.536,
2006-07,2.390,
2006-10,2.498,
2007-01,2.453,
2007-04,2.455,
2007-07,2.380,
2007-10,2.486,
2008-01,2.357,
2008-04,2.329,
2008-07,2.311,
2008-10,2.702,
2009-01,3.773,
2009-04,4.784,
2009-07,5.089,
2009-10,4.979,
2010-01,4.884,
2010-04,5.051,
2010-07,5.143,
2010-10,5.008,
2011-01,4.948,
2011-04,4.927,
2011-07,5.017,
2011-10,4.367,
2012-01,4.139,
2012-04,4.457,
2012-07,4.428,
2012-10,4.525,
2013-01,4.226,
2013-04,4.425,
2013-07,4.386,
2013-10,4.393,
2014-01,4.472,
2014-04,4.656,
2014-07,4.803,
