"",BBFB1.M.Y.DE.W1.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Services: Travel / Credit (Resources) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 14:49:11,
1991-01,1.05,
1991-02,0.98,
1991-03,1.01,
1991-04,1.07,
1991-05,1.05,
1991-06,1.03,
1991-07,1.12,
1991-08,1.11,
1991-09,1.08,
1991-10,1.07,
1991-11,1.04,
1991-12,1.07,
1992-01,1.01,
1992-02,1.04,
1992-03,1.02,
1992-04,1.04,
1992-05,1.01,
1992-06,1.08,
1992-07,1.04,
1992-08,1.16,
1992-09,1.07,
1992-10,1.02,
1992-11,1.04,
1992-12,1.03,
1993-01,1.05,
1993-02,1.04,
1993-03,1.00,
1993-04,1.14,
1993-05,1.04,
1993-06,1.05,
1993-07,1.02,
1993-08,1.04,
1993-09,1.05,
1993-10,1.01,
1993-11,1.08,
1993-12,1.04,
1994-01,1.03,
1994-02,0.98,
1994-03,1.01,
1994-04,0.96,
1994-05,1.05,
1994-06,1.01,
1994-07,0.99,
1994-08,1.04,
1994-09,1.06,
1994-10,1.06,
1994-11,1.06,
1994-12,1.08,
1995-01,1.05,
1995-02,1.05,
1995-03,1.06,
1995-04,1.08,
1995-05,1.11,
1995-06,1.11,
1995-07,1.15,
1995-08,1.06,
1995-09,1.12,
1995-10,1.13,
1995-11,1.11,
1995-12,1.13,
1996-01,1.13,
1996-02,1.13,
1996-03,1.15,
1996-04,1.13,
1996-05,1.16,
1996-06,1.12,
1996-07,1.10,
1996-08,1.13,
1996-09,1.12,
1996-10,1.15,
1996-11,1.10,
1996-12,1.19,
1997-01,1.30,
1997-02,1.28,
1997-03,1.27,
1997-04,1.30,
1997-05,1.28,
1997-06,1.27,
1997-07,1.31,
1997-08,1.33,
1997-09,1.32,
1997-10,1.36,
1997-11,1.33,
1997-12,1.41,
1998-01,1.38,
1998-02,1.45,
1998-03,1.46,
1998-04,1.40,
1998-05,1.37,
1998-06,1.27,
1998-07,1.44,
1998-08,1.34,
1998-09,1.28,
1998-10,1.24,
1998-11,1.37,
1998-12,1.49,
1999-01,1.37,
1999-02,1.36,
1999-03,1.39,
1999-04,1.36,
1999-05,1.42,
1999-06,1.40,
1999-07,1.43,
1999-08,1.46,
1999-09,1.45,
1999-10,1.46,
1999-11,1.49,
1999-12,1.42,
2000-01,1.54,
2000-02,1.58,
2000-03,1.61,
2000-04,1.63,
2000-05,1.68,
2000-06,1.73,
2000-07,1.71,
2000-08,1.69,
2000-09,1.76,
2000-10,1.80,
2000-11,1.75,
2000-12,1.72,
2001-01,1.75,
2001-02,1.73,
2001-03,1.63,
2001-04,1.72,
2001-05,1.64,
2001-06,1.71,
2001-07,1.68,
2001-08,1.67,
2001-09,1.65,
2001-10,1.66,
2001-11,1.72,
2001-12,1.72,
2002-01,1.69,
2002-02,1.67,
2002-03,1.70,
2002-04,1.71,
2002-05,1.70,
2002-06,1.67,
2002-07,1.70,
2002-08,1.72,
2002-09,1.69,
2002-10,1.72,
2002-11,1.71,
2002-12,1.74,
2003-01,1.73,
2003-02,1.63,
2003-03,1.74,
2003-04,1.68,
2003-05,1.65,
2003-06,1.72,
2003-07,1.71,
2003-08,1.69,
2003-09,1.69,
2003-10,1.71,
2003-11,1.74,
2003-12,1.76,
2004-01,1.82,
2004-02,1.84,
2004-03,1.88,
2004-04,1.87,
2004-05,1.84,
2004-06,1.82,
2004-07,1.83,
2004-08,1.80,
2004-09,1.87,
2004-10,1.84,
2004-11,1.88,
2004-12,1.89,
2005-01,1.91,
2005-02,1.97,
2005-03,1.97,
2005-04,1.98,
2005-05,1.96,
2005-06,1.97,
2005-07,1.91,
2005-08,1.96,
2005-09,1.91,
2005-10,1.94,
2005-11,1.97,
2005-12,1.97,
2006-01,1.98,
2006-02,2.04,
