"",BBK01.OEHM03K,BBK01.OEHM03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:37,
2002-01,2.925,
2002-04,3.076,
2002-07,2.214,
2002-10,2.839,
2003-01,1.661,
2003-04,1.570,
2003-07,1.786,
2003-10,1.914,
2004-01,1.476,
2004-04,1.558,
2004-07,1.347,
2004-10,2.295,
2005-01,1.332,
2005-04,0.790,
2005-07,0.694,
2005-10,0.575,
2006-01,0.881,
2006-04,1.254,
2006-07,1.432,
2006-10,1.340,
2007-01,0.886,
2007-04,1.052,
2007-07,0.867,
2007-10,0.729,
2008-01,0.675,
2008-04,1.361,
2008-07,1.697,
2008-10,1.340,
2009-01,0.854,
2009-04,1.131,
2009-07,1.207,
2009-10,1.443,
2010-01,1.136,
2010-04,1.190,
2010-07,1.047,
2010-10,0.862,
2011-01,0.815,
2011-04,0.927,
2011-07,0.933,
2011-10,0.610,
2012-01,0.526,
2012-04,0.514,
2012-07,0.130,
2012-10,0.103,
2013-01,0.144,
2013-04,0.107,
2013-07,0.152,
2013-10,0.103,
2014-01,0.177,
2014-04,0.177,
2014-07,0.069,
