"",BBEX3.M.BOB.EUR.CA.AB.A01,BBEX3.M.BOB.EUR.CA.AB.A01_FLAGS
"",Exchange rates (comparable rates) for the euro in the Plurinational State of Bolivia * / EUR 1 = BOB ... (selling),
unit,BOB (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:16,
1999-01,6.4433,
1999-02,6.2803,
1999-03,6.1552,
1999-04,6.1039,
1999-05,6.0645,
1999-06,6.0109,
1999-07,6.2667,
1999-08,6.2381,
1999-09,6.3243,
1999-10,6.2404,
1999-11,6.0481,
1999-12,6.0376,
2000-01,5.9138,
2000-02,5.8964,
2000-03,5.8369,
2000-04,5.5782,
2000-05,5.7400,
2000-06,5.9247,
2000-07,5.7584,
2000-08,5.5752,
2000-09,5.5220,
2000-10,5.3280,
2000-11,5.5317,
2000-12,5.9645,
2001-01,5.9847,
2001-02,5.9742,
2001-03,5.7408,
2001-04,5.7960,
2001-05,5.5798,
2001-06,5.6053,
2001-07,5.8396,
2001-08,6.1450,
2001-09,6.1634,
2001-10,6.1576,
2001-11,6.0862,
2001-12,6.0281,
2002-01,5.9768,
2002-02,6.0470,
2002-03,6.1461,
2002-04,6.3732,
2002-05,6.6648,
2002-06,7.1670,
2002-07,7.0976,
2002-08,7.1928,
2002-09,7.2619,
2002-10,7.3142,
2002-11,7.4055,
2002-12,7.8321,
2003-01,8.1823,
2003-02,8.1781,
2003-03,8.2802,
2003-04,8.4707,
2003-05,9.0202,
2003-06,8.7531,
2003-07,8.7035,
2003-08,8.4466,
2003-09,9.0303,
2003-10,9.0303,
2003-11,9.3433,
2003-12,9.9019,
2004-01,9.7338,
2004-02,9.7730,
2004-03,9.6570,
2004-04,9.4501,
2004-05,9.6608,
2004-06,9.6511,
2004-07,9.5710,
2004-08,9.6646,
2004-09,9.9272,
2004-10,10.2278,
2004-11,10.6892,
2004-12,10.9785,
2005-01,10.5192,
2005-02,10.7117,
2005-03,10.5008,
2005-04,10.4952,
2005-05,9.9881,
2005-06,9.7945,
2005-07,9.7832,
2005-08,9.8682,
2005-09,9.7299,
2005-10,9.7146,
2005-11,9.5094,
2005-12,9.5320,
2006-01,9.7913,
2006-02,9.6001,
2006-03,9.7679,
2006-04,10.1048,
2006-05,10.3716,
2006-06,10.2467,
2006-07,10.2902,
2006-08,10.3451,
2006-09,10.1913,
2006-10,10.2203,
2006-11,10.6260,
2006-12,10.5755,
2007-01,10.3762,
2007-02,10.5556,
2007-03,10.6411,
2007-04,10.8704,
2007-05,10.7220,
2007-06,10.7365,
2007-07,10.7874,
2007-08,10.7036,
2007-09,11.0738,
2007-10,11.2253,
2007-11,11.4103,
2007-12,11.2910,
2008-01,11.3458,
2008-02,11.5118,
2008-03,11.8590,
2008-04,11.4996,
2008-05,11.3363,
2008-06,11.3816,
2008-07,11.1463,
2008-08,10.4766,
2008-09,10.1408,
2008-10,9.0192,
2008-11,8.9980,
2008-12,9.8393,
2009-01,9.0609,
2009-02,8.9393,
2009-03,9.4088,
2009-04,9.3854,
2009-05,9.9673,
2009-06,9.9927,
2009-07,9.9956,
2009-08,10.0903,
2009-09,10.3526,
2009-10,10.4636,
2009-11,10.6213,
2009-12,10.1850,
2010-01,9.8740,
2010-02,9.5940,
2010-03,9.5297,
2010-04,9.4137,
2010-05,8.7010,
2010-06,8.6756,
2010-07,9.2108,
2010-08,8.9648,
2010-09,9.6491,
2010-10,9.7969,
2010-11,9.1766,
2010-12,9.4068,
2011-01,9.6392,
2011-02,9.7115,
2011-03,9.9449,
2011-04,10.3871,
2011-05,10.0551,
2011-06,10.0882,
2011-07,9.9392,
2011-08,10.0717,
2011-09,9.4116,
2011-10,9.7587,
2011-11,9.3389,
2011-12,9.0055,
2012-01,9.1705,
2012-02,9.3563,
2012-03,9.2958,
2012-04,9.1969,
2012-05,8.6325,
2012-06,8.7626,
2012-07,8.5497,
2012-08,8.7773,
2012-09,8.9993,
2012-10,9.0431,
2012-11,9.0383,
2012-12,9.1830,
2013-01,9.4308,
2013-02,9.1378,
2013-03,8.9123,
2013-04,9.0981,
2013-05,9.0522,
2013-06,9.1037,
2013-07,9.2394,
2013-08,9.2116,
2013-09,9.3995,
2013-10,9.4941,
2013-11,9.4733,
2013-12,9.5985,
2014-01,9.4071,
2014-02,9.6138,
2014-03,9.5964,
2014-04,9.6396,
2014-05,9.4705,
2014-06,9.5060,
2014-07,9.3118,
2014-08,9.1788,
2014-09,8.7578,
2014-10,8.7167,
2014-11,8.6882,
2014-12,8.4501,
2015-01,7.8683,
"","Source: Since March 2003: Banco Central de Bolivia, La Paz. 1999 - February 2003: Dresdner Bank Lateinamerika AG, Hamburg.",
"",Methodology: * We do not have any data from Bolivia on euro exchange rates; the comparable rates were calculated on the basis of the exchange rates for the US dollar in Bolivia in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.,
