"",BBK01.OEAL05N,BBK01.OEAL05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:23,
2002-01,12.232,
2002-04,12.484,
2002-07,12.695,
2002-10,13.240,
2003-01,13.370,
2003-04,13.498,
2003-07,13.349,
2003-10,13.647,
2004-01,13.711,
2004-04,13.978,
2004-07,14.144,
2004-10,13.197,
2005-01,13.666,
2005-04,13.690,
2005-07,13.037,
2005-10,12.913,
2006-01,12.978,
2006-04,13.121,
2006-07,13.169,
2006-10,13.323,
2007-01,13.390,
2007-04,13.512,
2007-07,13.635,
2007-10,13.986,
2008-01,14.162,
2008-04,14.380,
2008-07,11.945,
2008-10,12.144,
2009-01,11.928,
2009-04,12.671,
2009-07,13.003,
2009-10,13.321,
2010-01,13.518,
2010-04,13.680,
2010-07,13.877,
2010-10,14.281,
2011-01,14.499,
2011-04,14.735,
2011-07,14.888,
2011-10,15.524,
2012-01,16.047,
2012-04,16.140,
2012-07,16.174,
2012-10,17.619,
2013-01,17.645,
2013-04,17.875,
2013-07,17.879,
2013-10,18.890,
2014-01,19.268,
2014-04,19.696,
2014-07,20.227,
