"",BBK01.OEAE12L,BBK01.OEAE12L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:08,
2002-01,4.657,
2002-04,4.413,
2002-07,4.606,
2002-10,6.171,
2003-01,6.622,
2003-04,6.743,
2003-07,6.252,
2003-10,4.645,
2004-01,3.979,
2004-04,3.937,
2004-07,3.391,
2004-10,3.176,
2005-01,3.375,
2005-04,3.092,
2005-07,5.788,
2005-10,2.530,
2006-01,2.974,
2006-04,2.825,
2006-07,2.958,
2006-10,2.313,
2007-01,2.502,
2007-04,2.700,
2007-07,2.670,
2007-10,2.928,
2008-01,2.968,
2008-04,3.166,
2008-07,2.856,
2008-10,4.821,
2009-01,4.128,
2009-04,3.791,
2009-07,3.564,
2009-10,3.360,
2010-01,3.550,
2010-04,3.810,
2010-07,3.593,
2010-10,3.573,
2011-01,3.852,
2011-04,3.750,
2011-07,3.956,
2011-10,3.967,
2012-01,4.136,
2012-04,4.444,
2012-07,4.214,
2012-10,1.642,
2013-01,1.688,
2013-04,1.651,
2013-07,1.416,
2013-10,1.506,
2014-01,1.422,
2014-04,1.679,
2014-07,1.654,
