"",BBK01.OEAC34G,BBK01.OEAC34G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:13,
2002-01,1.178,
2002-04,1.338,
2002-07,1.336,
2002-10,1.379,
2003-01,1.217,
2003-04,1.198,
2003-07,1.230,
2003-10,1.266,
2004-01,1.260,
2004-04,1.251,
2004-07,1.229,
2004-10,1.221,
2005-01,1.204,
2005-04,1.204,
2005-07,1.191,
2005-10,1.183,
2006-01,1.156,
2006-04,1.142,
2006-07,1.160,
2006-10,0.978,
2007-01,1.025,
2007-04,1.092,
2007-07,1.140,
2007-10,1.158,
2008-01,1.202,
2008-04,1.231,
2008-07,1.249,
2008-10,1.266,
2009-01,1.427,
2009-04,1.578,
2009-07,1.531,
2009-10,1.555,
2010-01,1.322,
2010-04,1.566,
2010-07,1.617,
2010-10,1.647,
2011-01,1.678,
2011-04,1.685,
2011-07,1.676,
2011-10,1.700,
2012-01,1.701,
2012-04,1.643,
2012-07,1.589,
2012-10,1.594,
2013-01,1.547,
2013-04,1.499,
2013-07,1.548,
2013-10,1.598,
2014-01,1.644,
2014-04,1.657,
2014-07,1.666,
