"",BBFB1.Q.N.DE.AT.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:25,
1991-01,-2067.976,
1991-04,-746.157,
1991-07,-1276.680,
1991-10,-836.364,
1992-01,-2173.479,
1992-04,-843.915,
1992-07,-1321.160,
1992-10,-832.746,
1993-01,-2185.536,
1993-04,-813.182,
1993-07,-1319.706,
1993-10,-832.480,
1994-01,-2204.673,
1994-04,-833.463,
1994-07,-1364.086,
1994-10,-767.368,
1995-01,-2086.505,
1995-04,-690.385,
1995-07,-1134.232,
1995-10,-640.671,
1996-01,-2001.701,
1996-04,-687.894,
1996-07,-1085.655,
1996-10,-695.921,
1997-01,-2038.829,
1997-04,-705.201,
1997-07,-1205.123,
1997-10,-723.017,
1998-01,-2104.041,
1998-04,-818.268,
1998-07,-1234.869,
1998-10,-793.542,
1999-01,-2145.135,
1999-04,-939.385,
1999-07,-1396.320,
1999-10,-923.544,
2000-01,-2296.633,
2000-04,-982.305,
2000-07,-1418.081,
2000-10,-1094.289,
2001-01,-2437.392,
2001-04,-1142.899,
2001-07,-1589.897,
2001-10,-984.395,
2002-01,-2566.427,
2002-04,-1136.276,
2002-07,-1358.137,
2002-10,-1098.477,
2003-01,-2573.779,
2003-04,-1345.410,
2003-07,-1969.266,
2003-10,-1261.738,
2004-01,-2418.057,
2004-04,-1480.945,
2004-07,-1621.511,
2004-10,-949.314,
2005-01,-2241.313,
2005-04,-1272.530,
2005-07,-1899.386,
2005-10,-1159.529,
2006-01,-2383.535,
2006-04,-1121.561,
2006-07,-1631.466,
2006-10,-913.053,
2007-01,-2154.484,
2007-04,-1271.701,
2007-07,-1897.744,
2007-10,-1333.291,
2008-01,-2275.154,
2008-04,-1269.221,
2008-07,-1959.591,
2008-10,-1535.362,
2009-01,-2200.507,
2009-04,-1167.952,
2009-07,-1796.964,
2009-10,-1215.259,
2010-01,-2214.816,
2010-04,-1085.845,
2010-07,-1924.972,
2010-10,-1175.109,
2011-01,-2379.559,
2011-04,-1255.078,
2011-07,-2085.463,
2011-10,-1296.296,
2012-01,-2169.572,
2012-04,-1518.868,
2012-07,-2172.093,
2012-10,-1365.650,
2013-01,-2724.134,
2013-04,-1509.767,
2013-07,-2210.681,
2013-10,-1476.798,
2014-01,-2474.006,Provisional value
2014-04,-1669.738,Provisional value
2014-07,-2199.662,Provisional value
