"",BBFN1.M.DE.N.1.A.FI.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.FI.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Finland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:47,
1982-09,0.010,
1982-10,0.009,
1982-11,0.008,
1982-12,0.007,
1983-01,0.007,
1983-02,0.007,
1983-03,0.008,
1983-04,0.009,
1983-05,0.009,
1983-06,0.012,
1983-07,0.009,
1983-08,0.008,
1983-09,0.009,
1983-10,0.009,
1983-11,0.009,
1983-12,0.007,
1984-01,0.007,
1984-02,0.009,
1984-03,0.007,
1984-04,0.007,
1984-05,0.007,
1984-06,0.007,
1984-07,0.008,
1984-08,0.007,
1984-09,0.009,
1984-10,0.009,
1984-11,0.009,
1984-12,0.010,
1985-01,0.015,
1985-02,0.012,
1985-03,0.011,
1985-04,0.010,
1985-05,0.010,
1985-06,0.015,
1985-07,0.011,
1985-08,0.013,
1985-09,0.011,
1985-10,0.012,
1985-11,0.013,
1985-12,0.010,
1986-01,0.011,
1986-02,0.010,
1986-03,0.011,
1986-04,0.012,
1986-05,0.009,
1986-06,0.015,
1986-07,0.012,
1986-08,0.011,
1986-09,0.012,
1986-10,0.013,
1986-11,0.013,
1986-12,0.011,
1987-01,0.012,
1987-02,0.021,
1987-03,0.019,
1987-04,0.029,
1987-05,0.026,
1987-06,0.028,
1987-07,0.020,
1987-08,0.022,
1987-09,0.061,
1987-10,0.011,
1987-11,0.038,
1987-12,0.028,
1988-01,0.019,
1988-02,0.016,
1988-03,0.018,
1988-04,0.026,
1988-05,0.026,
1988-06,0.020,
1988-07,0.030,
1988-08,0.038,
1988-09,0.113,
1988-10,0.093,
1988-11,0.075,
1988-12,0.041,
1989-01,0.063,
1989-02,0.074,
1989-03,0.069,
1989-04,0.038,
1989-05,0.022,
1989-06,0.065,
1989-07,0.074,
1989-08,0.071,
1989-09,0.088,
1989-10,0.067,
1989-11,0.084,
1989-12,0.031,
1990-01,0.026,
1990-02,0.108,
1990-03,0.066,
1990-04,0.077,
1990-05,0.117,
1990-06,0.128,
1990-07,0.129,
1990-08,0.098,
1990-09,0.121,
1990-10,0.087,
1990-11,0.096,
1990-12,0.089,
1991-01,0.092,
1991-02,0.111,
1991-03,0.123,
1991-04,0.112,
1991-05,0.105,
1991-06,0.095,
1991-07,0.084,
1991-08,0.089,
1991-09,0.115,
1991-10,0.097,
1991-11,0.078,
1991-12,0.075,
1992-01,0.087,
1992-02,0.080,
1992-03,0.081,
1992-04,0.085,
1992-05,0.080,
1992-06,0.080,
1992-07,0.076,
1992-08,0.074,
1992-09,0.075,
1992-10,0.060,
1992-11,0.060,
1992-12,0.058,
1993-01,0.057,
1993-02,0.057,
1993-03,0.057,
1993-04,0.107,
1993-05,0.097,
1993-06,0.100,
1993-07,0.101,
1993-08,0.061,
1993-09,0.063,
1993-10,0.058,
1993-11,0.059,
1993-12,0.057,
1994-01,0.134,
1994-02,0.143,
1994-03,0.150,
1994-04,0.156,
1994-05,0.151,
1994-06,0.147,
1994-07,0.150,
1994-08,0.157,
1994-09,0.084,
1994-10,0.088,
1994-11,0.083,
1994-12,0.063,
1995-01,0.082,
1995-02,0.081,
1995-03,0.082,
1995-04,0.085,
1995-05,0.087,
1995-06,0.073,
1995-07,0.074,
1995-08,0.067,
1995-09,0.061,
1995-10,0.065,
1995-11,0.062,
1995-12,0.066,
1996-01,0.054,
1996-02,0.053,
1996-03,0.056,
1996-04,0.195,
1996-05,0.196,
1996-06,0.208,
1996-07,0.213,
1996-08,0.215,
1996-09,0.248,
1996-10,0.272,
1996-11,0.236,
1996-12,0.216,
1997-01,0.205,
1997-02,0.231,
1997-03,0.259,
1997-04,0.221,
1997-05,0.236,
1997-06,0.240,
1997-07,0.246,
1997-08,0.248,
1997-09,0.234,
1997-10,0.231,
1997-11,0.089,
1997-12,0.101,
1998-01,0.081,
1998-02,0.071,
1998-03,0.258,
1998-04,0.079,
1998-05,0.066,
1998-06,0.072,
1998-07,0.071,
1998-08,0.067,
1998-09,0.074,
1998-10,0.097,
1998-11,0.081,
