"",BBK01.OECL08R,BBK01.OECL08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:09,
2002-01,0.213,
2002-04,0.157,
2002-07,0.158,
2002-10,0.173,
2003-01,0.171,
2003-04,0.163,
2003-07,0.170,
2003-10,0.168,
2004-01,0.158,
2004-04,0.152,
2004-07,0.178,
2004-10,0.303,
2005-01,0.868,
2005-04,0.862,
2005-07,0.856,
2005-10,0.856,
2006-01,0.850,
2006-04,0.834,
2006-07,0.819,
2006-10,0.808,
2007-01,0.804,
2007-04,0.787,
2007-07,0.772,
2007-10,0.779,
2008-01,0.766,
2008-04,0.780,
2008-07,0.759,
2008-10,0.744,
2009-01,0.762,
2009-04,0.776,
2009-07,0.811,
2009-10,0.849,
2010-01,0.869,
2010-04,0.868,
2010-07,0.880,
2010-10,0.887,
2011-01,0.877,
2011-04,0.863,
2011-07,0.856,
2011-10,0.864,
2012-01,0.927,
2012-04,0.911,
2012-07,0.918,
2012-10,0.944,
2013-01,0.940,
2013-04,0.932,
2013-07,0.929,
2013-10,0.934,
2014-01,0.928,
2014-04,0.917,
2014-07,0.936,
