"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.O.F6._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.O.F6._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Insurance and pension services / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:38,
1991-01,349.048,
1991-04,349.624,
1991-07,350.588,
1991-10,351.955,
1992-01,87.342,
1992-04,90.792,
1992-07,94.503,
1992-10,99.261,
1993-01,178.521,
1993-04,184.756,
1993-07,191.844,
1993-10,199.670,
1994-01,253.375,
1994-04,257.488,
1994-07,265.069,
1994-10,272.178,
1995-01,285.686,
1995-04,289.685,
1995-07,292.985,
1995-10,294.830,
1996-01,307.532,
1996-04,298.621,
1996-07,296.623,
1996-10,293.513,
1997-01,305.091,
1997-04,252.476,
1997-07,164.588,
1997-10,34.915,
1998-01,-112.722,
1998-04,-135.887,
1998-07,4.545,
1998-10,301.054,
1999-01,730.210,
1999-04,926.754,
1999-07,892.172,
1999-10,614.055,
2000-01,59.188,
2000-04,-94.743,
2000-07,132.623,
2000-10,734.423,
2001-01,1885.091,
2001-04,2212.352,
2001-07,1934.333,
2001-10,1029.012,
2002-01,-602.757,
2002-04,-1423.466,
2002-07,-1498.098,
2002-10,-843.104,
2003-01,537.481,
2003-04,1472.327,
2003-07,1836.865,
2003-10,1692.205,
2004-01,1904.115,
2004-04,1461.705,
2004-07,1277.261,
2004-10,1329.740,
2005-01,847.626,
2005-04,774.480,
2005-07,420.229,
2005-10,-254.643,
2006-01,-595.060,
2006-04,-1041.064,
2006-07,-862.653,
2006-10,-95.838,
2007-01,956.664,
2007-04,1758.119,
2007-07,2093.266,
2007-10,1918.873,
2008-01,682.288,
2008-04,-70.181,
2008-07,-688.686,
2008-10,-1274.110,
2009-01,-2416.971,
2009-04,-2677.813,
2009-07,-2662.499,
2009-10,-2362.753,
2010-01,-447.230,
2010-04,-73.752,
2010-07,316.484,
2010-10,609.465,
2011-01,1243.252,
2011-04,1269.728,
2011-07,1330.274,
2011-10,1323.326,
2012-01,0.600,
2012-04,-72.047,
2012-07,-151.639,
2012-10,-233.424,
2013-01,85.033,
2013-04,22.106,
2013-07,-20.031,
2013-10,-41.068,
2014-01,-545.086,
2014-04,-410.175,
2014-07,54.384,
