"",BBK01.OEHJ04Q,BBK01.OEHJ04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:34,
2002-01,0.429,
2002-04,0.490,
2002-07,0.464,
2002-10,0.379,
2003-01,0.456,
2003-04,0.430,
2003-07,0.440,
2003-10,0.441,
2004-01,0.401,
2004-04,0.397,
2004-07,0.416,
2004-10,0.408,
2005-01,0.305,
2005-04,0.391,
2005-07,0.382,
2005-10,0.411,
2006-01,0.407,
2006-04,0.425,
2006-07,0.393,
2006-10,0.488,
2007-01,0.497,
2007-04,0.514,
2007-07,0.572,
2007-10,0.547,
2008-01,0.558,
2008-04,0.596,
2008-07,0.634,
2008-10,0.560,
2009-01,0.398,
2009-04,0.351,
2009-07,0.285,
2009-10,0.169,
2010-01,0.136,
2010-04,0.145,
2010-07,0.178,
2010-10,0.163,
2011-01,0.226,
2011-04,0.273,
2011-07,0.251,
2011-10,0.257,
2012-01,0.259,
2012-04,0.224,
2012-07,0.190,
2012-10,0.273,
2013-01,0.206,
2013-04,0.175,
2013-07,0.173,
2013-10,0.151,
2014-01,0.105,
2014-04,0.129,
2014-07,0.134,
