"",BBK01.OEYB15O,BBK01.OEYB15O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:44,
2002-01,0.113,
2002-04,0.118,
2002-07,0.118,
2002-10,0.122,
2003-01,0.129,
2003-04,0.135,
2003-07,0.112,
2003-10,0.123,
2004-01,0.119,
2004-04,0.120,
2004-07,0.112,
2004-10,0.111,
2005-01,0.106,
2005-04,0.106,
2005-07,0.106,
2005-10,0.086,
2006-01,0.107,
2006-04,0.108,
2006-07,0.112,
2006-10,0.114,
2007-01,0.115,
2007-04,0.115,
2007-07,0.109,
2007-10,0.107,
2008-01,0.106,
2008-04,0.111,
2008-07,0.107,
2008-10,0.095,
2009-01,0.089,
2009-04,0.088,
2009-07,0.083,
2009-10,0.086,
2010-01,0.085,
2010-04,0.094,
2010-07,0.099,
2010-10,0.101,
2011-01,0.102,
2011-04,0.101,
2011-07,0.104,
2011-10,0.105,
2012-01,0.104,
2012-04,0.100,
2012-07,0.097,
2012-10,0.092,
2013-01,0.085,
2013-04,0.093,
2013-07,0.094,
2013-10,0.089,
2014-01,0.085,
2014-04,0.087,
2014-07,0.097,
