"",BBK01.OEAH39U,BBK01.OEAH39U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:25,
2002-01,0.048,
2002-04,0.048,
2002-07,0.050,
2002-10,0.048,
2003-01,0.050,
2003-04,0.046,
2003-07,0.048,
2003-10,0.041,
2004-01,0.051,
2004-04,0.049,
2004-07,0.051,
2004-10,0.050,
2005-01,0.050,
2005-04,0.048,
2005-07,0.062,
2005-10,0.050,
2006-01,0.051,
2006-04,0.053,
2006-07,0.053,
2006-10,0.050,
2007-01,0.046,
2007-04,0.043,
2007-07,0.043,
2007-10,0.041,
2008-01,0.038,
2008-04,0.038,
2008-07,0.040,
2008-10,0.038,
2009-01,0.051,
2009-04,0.057,
2009-07,0.071,
2009-10,0.080,
2010-01,0.102,
2010-04,0.150,
2010-07,0.148,
2010-10,0.129,
2011-01,0.112,
2011-04,0.101,
2011-07,0.084,
2011-10,0.076,
2012-01,0.077,
2012-04,0.090,
2012-07,0.100,
2012-10,0.106,
2013-01,0.120,
2013-04,0.121,
2013-07,0.121,
2013-10,0.117,
2014-01,0.114,
2014-04,0.113,
2014-07,0.115,
