"",BBK01.OEYB12I,BBK01.OEYB12I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:41,
2002-01,31.334,
2002-04,31.193,
2002-07,29.821,
2002-10,29.086,
2003-01,28.089,
2003-04,27.805,
2003-07,27.795,
2003-10,27.190,
2004-01,26.936,
2004-04,26.672,
2004-07,25.236,
2004-10,24.983,
2005-01,25.156,
2005-04,25.217,
2005-07,25.152,
2005-10,24.766,
2006-01,25.230,
2006-04,25.451,
2006-07,27.143,
2006-10,26.689,
2007-01,26.268,
2007-04,26.097,
2007-07,25.796,
2007-10,26.289,
2008-01,26.312,
2008-04,26.134,
2008-07,25.982,
2008-10,25.268,
2009-01,25.159,
2009-04,24.705,
2009-07,28.673,
2009-10,28.522,
2010-01,28.514,
2010-04,28.570,
2010-07,29.555,
2010-10,29.473,
2011-01,29.545,
2011-04,29.979,
2011-07,30.313,
2011-10,30.714,
2012-01,30.938,
2012-04,30.980,
2012-07,31.161,
2012-10,30.914,
2013-01,30.899,
2013-04,31.262,
2013-07,31.483,
2013-10,31.910,
2014-01,31.193,
2014-04,30.781,
2014-07,30.342,
