"",BBK01.CEBS01,BBK01.CEBS01_FLAGS
"",Savings certificates debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:37,
1991-01,2.7,
1991-04,2.7,
1991-07,2.7,
1991-10,2.7,
1992-01,2.8,
1992-04,2.8,
1992-07,2.8,
1992-10,2.8,
1993-01,2.7,
1993-04,2.5,
1993-07,2.5,
1993-10,2.3,
1994-01,2.2,
1994-04,2.2,
1994-07,2.3,
1994-10,2.5,
1995-01,3.2,
1995-04,3.2,
1995-07,3.7,
1995-10,4.1,
1996-01,4.3,
1996-04,4.5,
1996-07,4.7,
1996-10,4.9,
1997-01,5.1,
1997-04,5.3,
1997-07,5.4,
1997-10,5.7,
1998-01,6.0,
1998-04,6.1,
1998-07,6.1,
1998-10,6.2,
1999-01,4.8,
1999-04,4.7,
1999-07,4.9,
1999-10,5.5,
2000-01,5.5,
2000-04,5.6,
2000-07,5.6,
2000-10,5.7,
2001-01,5.6,
2001-04,5.4,
2001-07,5.3,
2001-10,5.2,
2002-01,5.2,
2002-04,5.1,
2002-07,4.9,
2002-10,5.0,
2003-01,5.1,
2003-04,5.0,
2003-07,5.1,
2003-10,5.2,
2004-01,5.4,
2004-04,5.5,
2004-07,5.8,
2004-10,5.8,
2005-01,5.9,
2005-04,6.0,
2005-07,5.9,
2005-10,5.8,
2006-01,5.9,
2006-04,6.0,
2006-07,6.1,
2006-10,6.0,
2007-01,6.1,
2007-04,6.0,
2007-07,5.9,
2007-10,5.8,
2008-01,5.8,
2008-04,5.8,
2008-07,5.9,
2008-10,6.0,
2009-01,6.0,
2009-04,5.9,
2009-07,5.9,
2009-10,6.2,
2010-01,5.6,
2010-04,5.6,
2010-07,5.6,
2010-10,5.6,
2011-01,5.5,
2011-04,5.6,
2011-07,5.5,
2011-10,5.4,
2012-01,5.4,
2012-04,5.2,
2012-07,5.0,
2012-10,5.0,
2013-01,4.8,
2013-04,4.6,
2013-07,4.6,
2013-10,4.9,
2014-01,5.1,
