"",BBK01.TVD416,BBK01.TVD416_FLAGS
"",Lending to non-banks (non-MFIs) in the euro area / in the home country / General government / Loans / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:20:52,
2008-05,-5194,
2008-06,-1276,
2008-07,206,
2008-08,-643,
2008-09,-4075,
2008-10,1773,
2008-11,-2465,
2008-12,-180,
2009-01,1335,
2009-02,-1809,
2009-03,-4224,
2009-04,2365,
2009-05,-3820,
2009-06,-160,
2009-07,12049,
2009-08,-5630,
2009-09,-2839,
2009-10,11703,
2009-11,-8171,
2009-12,-5901,
2010-01,2834,
2010-02,-3237,
2010-03,679,
2010-04,2232,
2010-05,5958,
2010-06,5198,
2010-07,-4096,
2010-08,29,
2010-09,1882,
2010-10,4577,
2010-11,76153,
2010-12,-8827,
2011-01,3512,
2011-02,-12020,
2011-03,-10504,
2011-04,-10932,
2011-05,-10687,
2011-06,-3243,
2011-07,-244,
2011-08,-9304,
2011-09,-181,
2011-10,-3774,
2011-11,-3270,
2011-12,1558,
2012-01,3755,
2012-02,-2239,
2012-03,-1407,
2012-04,5323,
2012-05,-5597,
2012-06,10425,
2012-07,-3332,
2012-08,-7385,
2012-09,-579,
2012-10,6693,
2012-11,-6263,
2012-12,-9858,
2013-01,1984,
2013-02,-4930,
2013-03,-2139,
2013-04,10069,
2013-05,-10538,
2013-06,-2299,
2013-07,5065,
2013-08,-6714,
2013-09,-566,
2013-10,7139,
2013-11,-4571,
2013-12,-3372,
2014-01,6174,
2014-02,-4306,
2014-03,-4454,
2014-04,410,
2014-05,1440,
2014-06,-7640,
2014-07,2724,
2014-08,-5524,
2014-09,-642,
2014-10,6360,
2014-11,-2440,
2014-12,-7197,
2015-01,8891,
