"",BBFB1.Q.N.DE.BR.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.BR.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Brazil,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:39,
1991-01,7.829,
1991-04,6.369,
1991-07,4.352,
1991-10,4.920,
1992-01,7.651,
1992-04,4.500,
1992-07,-3.080,
1992-10,4.977,
1993-01,10.853,
1993-04,3.185,
1993-07,-5.793,
1993-10,2.884,
1994-01,2.686,
1994-04,10.363,
1994-07,9.637,
1994-10,-6.467,
1995-01,7.367,
1995-04,14.420,
1995-07,45.579,
1995-10,50.949,
1996-01,41.073,
1996-04,-2.112,
1996-07,-112.837,
1996-10,11.876,
1997-01,10.478,
1997-04,27.628,
1997-07,15.261,
1997-10,3.432,
1998-01,9.920,
1998-04,0.628,
1998-07,5.649,
1998-10,3.061,
1999-01,-0.991,
1999-04,-0.281,
1999-07,18.494,
1999-10,24.346,
2000-01,-1.617,
2000-04,15.531,
2000-07,68.372,
2000-10,58.191,
2001-01,8.469,
2001-04,60.608,
2001-07,-24.658,
2001-10,-16.131,
2002-01,73.221,
2002-04,-53.632,
2002-07,-15.738,
2002-10,7.085,
2003-01,-14.694,
2003-04,-91.254,
2003-07,143.099,
2003-10,235.098,
2004-01,-2.002,
2004-04,-52.206,
2004-07,239.452,
2004-10,41.459,
2005-01,73.132,
2005-04,245.085,
2005-07,201.116,
2005-10,-288.776,
2006-01,-115.222,
2006-04,-169.681,
2006-07,-457.692,
2006-10,-22.569,
2007-01,-55.380,
2007-04,126.896,
2007-07,4.014,
2007-10,105.326,
2008-01,116.131,
2008-04,149.246,
2008-07,124.831,
2008-10,-103.849,
2009-01,-28.875,
2009-04,227.846,
2009-07,-102.214,
2009-10,-358.849,
2010-01,80.222,
2010-04,-32.439,
2010-07,-129.258,
2010-10,-3.705,
2011-01,235.042,
2011-04,-129.912,
2011-07,-69.928,
2011-10,63.297,
2012-01,-46.298,
2012-04,41.915,
2012-07,-66.623,
2012-10,-0.954,
2013-01,195.906,
2013-04,69.915,
2013-07,-14.386,
2013-10,-8.347,
2014-01,4.516,Provisional value
2014-04,-56.402,Provisional value
2014-07,-66.718,Provisional value
2014-10,9.776,Provisional value
