"",BBK01.OEYB23H,BBK01.OEYB23H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:37,
2002-01,1.498,
2002-04,1.400,
2002-07,1.353,
2002-10,1.225,
2003-01,1.492,
2003-04,1.973,
2003-07,1.833,
2003-10,3.876,
2004-01,3.724,
2004-04,3.542,
2004-07,3.753,
2004-10,2.953,
2005-01,2.554,
2005-04,2.426,
2005-07,2.241,
2005-10,2.075,
2006-01,2.011,
2006-04,1.826,
2006-07,1.672,
2006-10,1.560,
2007-01,1.569,
2007-04,1.462,
2007-07,1.376,
2007-10,1.259,
2008-01,1.132,
2008-04,1.149,
2008-07,1.062,
2008-10,1.153,
2009-01,1.133,
2009-04,1.240,
2009-07,1.933,
2009-10,2.076,
2010-01,2.013,
2010-04,1.927,
2010-07,2.129,
2010-10,2.159,
2011-01,2.131,
2011-04,2.112,
2011-07,2.667,
2011-10,3.046,
2012-01,2.880,
2012-04,2.628,
2012-07,2.448,
2012-10,2.413,
2013-01,2.355,
2013-04,2.262,
2013-07,2.025,
2013-10,1.967,
2014-01,1.686,
2014-04,1.561,
2014-07,1.443,
