"",BBK01.OEBB08H,BBK01.OEBB08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:43,
2002-01,152.165,
2002-04,151.549,
2002-07,150.814,
2002-10,149.986,
2003-01,148.699,
2003-04,147.109,
2003-07,144.228,
2003-10,142.004,
2004-01,139.034,
2004-04,137.584,
2004-07,135.537,
2004-10,131.679,
2005-01,134.168,
2005-04,131.944,
2005-07,130.640,
2005-10,128.412,
2006-01,125.420,
2006-04,123.453,
2006-07,122.204,
2006-10,119.949,
2007-01,116.578,
2007-04,114.802,
2007-07,112.320,
2007-10,110.058,
2008-01,107.650,
2008-04,105.827,
2008-07,103.985,
2008-10,101.255,
2009-01,98.806,
2009-04,68.338,
2009-07,67.095,
2009-10,65.957,
2010-01,64.720,
2010-04,64.197,
2010-07,62.458,
2010-10,62.779,
2011-01,60.637,
2011-04,60.032,
2011-07,59.863,
2011-10,59.737,
2012-01,59.772,
2012-04,59.577,
2012-07,59.320,
2012-10,58.925,
2013-01,59.140,
2013-04,59.419,
2013-07,59.252,
2013-10,59.003,
2014-01,58.610,
2014-04,58.978,
2014-07,59.616,
