"",BBK01.OEAG04N,BBK01.OEAG04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:26,
2002-01,27.912,
2002-04,28.314,
2002-07,27.733,
2002-10,28.150,
2003-01,28.975,
2003-04,29.373,
2003-07,29.063,
2003-10,29.522,
2004-01,30.194,
2004-04,30.746,
2004-07,30.588,
2004-10,28.305,
2005-01,30.941,
2005-04,30.707,
2005-07,30.525,
2005-10,31.733,
2006-01,32.559,
2006-04,33.430,
2006-07,33.752,
2006-10,34.167,
2007-01,34.709,
2007-04,35.359,
2007-07,36.231,
2007-10,36.912,
2008-01,37.822,
2008-04,38.009,
2008-07,36.660,
2008-10,37.179,
2009-01,35.916,
2009-04,37.282,
2009-07,39.125,
2009-10,38.745,
2010-01,39.555,
2010-04,39.927,
2010-07,40.038,
2010-10,40.171,
2011-01,40.251,
2011-04,40.176,
2011-07,39.935,
2011-10,40.603,
2012-01,42.157,
2012-04,40.342,
2012-07,39.591,
2012-10,40.117,
2013-01,42.094,
2013-04,42.657,
2013-07,41.274,
2013-10,41.124,
2014-01,42.347,
2014-04,42.946,
2014-07,43.285,
