"",BBK01.OEAL06V,BBK01.OEAL06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:32,
2002-01,3.581,
2002-04,3.716,
2002-07,3.703,
2002-10,3.686,
2003-01,3.654,
2003-04,3.516,
2003-07,3.434,
2003-10,3.387,
2004-01,3.436,
2004-04,3.355,
2004-07,3.278,
2004-10,3.076,
2005-01,2.943,
2005-04,2.794,
2005-07,2.674,
2005-10,2.649,
2006-01,2.608,
2006-04,2.576,
2006-07,2.588,
2006-10,2.574,
2007-01,2.554,
2007-04,2.634,
2007-07,2.731,
2007-10,2.856,
2008-01,2.974,
2008-04,3.105,
2008-07,3.278,
2008-10,3.407,
2009-01,3.099,
2009-04,2.772,
2009-07,2.496,
2009-10,2.355,
2010-01,2.312,
2010-04,2.333,
2010-07,2.290,
2010-10,2.271,
2011-01,2.333,
2011-04,2.517,
2011-07,2.501,
2011-10,2.474,
2012-01,2.412,
2012-04,2.380,
2012-07,2.270,
2012-10,2.146,
2013-01,2.019,
2013-04,1.929,
2013-07,1.882,
2013-10,1.862,
2014-01,1.820,
2014-04,1.666,
2014-07,1.579,
