"",BBK01.OEYB23L,BBK01.OEYB23L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:13,
2002-01,6.199,
2002-04,6.018,
2002-07,6.254,
2002-10,7.432,
2003-01,7.859,
2003-04,7.916,
2003-07,8.511,
2003-10,7.806,
2004-01,8.572,
2004-04,8.595,
2004-07,8.718,
2004-10,9.208,
2005-01,8.263,
2005-04,8.673,
2005-07,8.223,
2005-10,5.028,
2006-01,4.148,
2006-04,4.103,
2006-07,3.978,
2006-10,4.084,
2007-01,4.573,
2007-04,4.281,
2007-07,5.533,
2007-10,5.947,
2008-01,5.813,
2008-04,5.326,
2008-07,7.552,
2008-10,6.445,
2009-01,5.345,
2009-04,4.728,
2009-07,2.049,
2009-10,1.623,
2010-01,1.269,
2010-04,1.499,
2010-07,1.223,
2010-10,1.299,
2011-01,1.353,
2011-04,1.673,
2011-07,1.532,
2011-10,1.689,
2012-01,1.638,
2012-04,1.643,
2012-07,1.736,
2012-10,1.665,
2013-01,1.805,
2013-04,2.120,
2013-07,3.223,
2013-10,3.249,
2014-01,3.252,
2014-04,3.141,
2014-07,2.914,
