"",BBK01.OEXB16J,BBK01.OEXB16J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:24,
2002-01,0.235,
2002-04,0.237,
2002-07,0.233,
2002-10,0.232,
2003-01,0.229,
2003-04,0.227,
2003-07,0.227,
2003-10,0.225,
2004-01,0.221,
2004-04,0.229,
2004-07,0.229,
2004-10,0.228,
2005-01,0.226,
2005-04,0.221,
2005-07,0.175,
2005-10,0.166,
2006-01,0.164,
2006-04,0.164,
2006-07,0.163,
2006-10,0.159,
2007-01,0.155,
2007-04,0.152,
2007-07,0.151,
2007-10,0.148,
2008-01,0.149,
2008-04,0.150,
2008-07,0.148,
2008-10,0.149,
2009-01,0.144,
2009-04,0.148,
2009-07,0.147,
2009-10,0.147,
2010-01,0.151,
2010-04,0.150,
2010-07,0.147,
2010-10,0.143,
2011-01,0.139,
2011-04,0.149,
2011-07,0.148,
2011-10,0.146,
2012-01,0.150,
2012-04,0.150,
2012-07,0.151,
2012-10,0.155,
2013-01,0.154,
2013-04,0.153,
2013-07,0.154,
2013-10,0.157,
2014-01,0.167,
2014-04,0.163,
2014-07,0.161,
