"",BBK01.OELB20Q,BBK01.OELB20Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:02,
2002-01,2.200,
2002-04,2.224,
2002-07,2.271,
2002-10,2.309,
2003-01,2.307,
2003-04,2.325,
2003-07,2.357,
2003-10,2.414,
2004-01,2.420,
2004-04,2.453,
2004-07,2.497,
2004-10,2.585,
2005-01,2.586,
2005-04,2.611,
2005-07,2.796,
2005-10,2.846,
2006-01,2.931,
2006-04,2.949,
2006-07,2.976,
2006-10,2.946,
2007-01,2.930,
2007-04,2.933,
2007-07,2.960,
2007-10,2.985,
2008-01,2.999,
2008-04,3.034,
2008-07,3.038,
2008-10,3.062,
2009-01,3.073,
2009-04,3.101,
2009-07,3.170,
2009-10,3.218,
2010-01,3.236,
2010-04,3.246,
2010-07,3.303,
2010-10,3.365,
2011-01,3.383,
2011-04,3.411,
2011-07,3.499,
2011-10,3.526,
2012-01,3.557,
2012-04,3.700,
2012-07,3.736,
2012-10,3.790,
2013-01,3.822,
2013-04,3.895,
2013-07,3.942,
2013-10,4.006,
2014-01,3.950,
2014-04,3.999,
2014-07,4.051,
