"",BBK01.OEAC15P,BBK01.OEAC15P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:13,
2002-01,0.727,
2002-04,0.723,
2002-07,0.677,
2002-10,0.648,
2003-01,0.809,
2003-04,0.790,
2003-07,0.767,
2003-10,0.743,
2004-01,0.740,
2004-04,0.732,
2004-07,0.724,
2004-10,0.710,
2005-01,0.714,
2005-04,0.711,
2005-07,0.698,
2005-10,0.707,
2006-01,0.750,
2006-04,0.738,
2006-07,0.730,
2006-10,0.720,
2007-01,0.739,
2007-04,0.743,
2007-07,0.754,
2007-10,0.759,
2008-01,0.762,
2008-04,0.774,
2008-07,0.775,
2008-10,0.801,
2009-01,0.820,
2009-04,0.818,
2009-07,0.835,
2009-10,0.847,
2010-01,0.848,
2010-04,0.876,
2010-07,0.849,
2010-10,0.836,
2011-01,0.824,
2011-04,0.821,
2011-07,0.812,
2011-10,0.801,
2012-01,0.782,
2012-04,0.788,
2012-07,0.775,
2012-10,0.759,
2013-01,0.761,
2013-04,0.764,
2013-07,0.747,
2013-10,0.739,
2014-01,0.741,
2014-04,0.730,
2014-07,0.724,
