"",BBSF2.M.1.S.00000.IMM01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Distribution of earnings,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:03,
1993-04,-,Nothing exists
1993-05,3,
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,18,
1993-11,2,
1993-12,5,
1994-01,-,Nothing exists
1994-02,0,
1994-03,8,
1994-04,0,
1994-05,2,
1994-06,0,
1994-07,0,
1994-08,0,
1994-09,0,
1994-10,0,
1994-11,26,
1994-12,5,
1995-01,0,
1995-02,0,
1995-03,10,
1995-04,2,
1995-05,0,
1995-06,5,
1995-07,-,Nothing exists
1995-08,-,Nothing exists
1995-09,-,Nothing exists
1995-10,-,Nothing exists
1995-11,29,
1995-12,15,
1996-01,1,
1996-02,-,Nothing exists
1996-03,11,
1996-04,4,
1996-05,3,
1996-06,2,
1996-07,3,
1996-08,-,Nothing exists
1996-09,-,Nothing exists
1996-10,-,Nothing exists
1996-11,26,
1996-12,17,
1997-01,4,
1997-02,-,Nothing exists
1997-03,0,
1997-04,3,
1997-05,3,
1997-06,3,
1997-07,3,
1997-08,-,Nothing exists
1997-09,-,Nothing exists
1997-10,4,
1997-11,25,
1997-12,15,
1998-01,3,
1998-02,1,
1998-03,15,
1998-04,2,
1998-05,-,Nothing exists
1998-06,4,
1998-07,3,
1998-08,1,
1998-09,-,Nothing exists
1998-10,4,
1998-11,29,
1998-12,37,
1999-01,5,
1999-02,-,Nothing exists
1999-03,15,
1999-04,2,
1999-05,-,Nothing exists
1999-06,4,
1999-07,3,
1999-08,-,Nothing exists
1999-09,-,Nothing exists
1999-10,5,
1999-11,20,
1999-12,48,
2000-01,8,
2000-02,-,Nothing exists
2000-03,23,
2000-04,6,
2000-05,3,
2000-06,1,
2000-07,4,
2000-08,-,Nothing exists
2000-09,-,Nothing exists
2000-10,9,
2000-11,25,
2000-12,123,
2001-01,7,
2001-02,-,Nothing exists
2001-03,23,
2001-04,5,
2001-05,9,
2001-06,7,
2001-07,8,
2001-08,-,Nothing exists
2001-09,2,
2001-10,21,
2001-11,23,
2001-12,216,
2002-01,8,
2002-02,-,Nothing exists
2002-03,27,
2002-04,15,
2002-05,-,Nothing exists
2002-06,5,
2002-07,7,
2002-08,8,
2002-09,-,Nothing exists
2002-10,34,
2002-11,59,
2002-12,242,
2003-01,18,
2003-02,8,
2003-03,-,Nothing exists
2003-04,8,
2003-05,-,Nothing exists
2003-06,6,
2003-07,6,
2003-08,-,Nothing exists
2003-09,20,
2003-10,26,
2003-11,27,
2003-12,335,
2004-01,10,
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,4,
2004-05,0,
2004-06,15,
2004-07,1,
2004-08,7,
2004-09,12,
2004-10,1,
2004-11,37,
2004-12,304,
2005-01,99,
2005-02,14,
2005-03,15,
2005-04,3,
2005-05,-,Nothing exists
2005-06,6,
2005-07,11,
2005-08,6,
2005-09,15,
2005-10,20,
2005-11,79,
2005-12,266,
2006-01,15,
2006-02,0,
2006-03,8,
2006-04,32,
2006-05,8,
2006-06,7,
2006-07,12,
2006-08,31,
2006-09,29,
2006-10,46,
2006-11,31,
2006-12,521,
2007-01,26,
2007-02,-,Nothing exists
2007-03,36,
2007-04,22,
2007-05,27,
2007-06,28,
2007-07,24,
2007-08,8,
2007-09,44,
2007-10,12,
2007-11,48,
2007-12,567,
2008-01,120,
2008-02,131,
2008-03,19,
2008-04,34,
2008-05,11,
2008-06,39,
2008-07,13,
2008-08,0,
2008-09,73,
2008-10,13,
2008-11,41,
2008-12,464,
2009-01,89,
2009-02,14,
2009-03,76,
2009-04,33,
2009-05,38,
2009-06,24,
2009-07,13,
2009-08,16,
2009-09,17,
2009-10,30,
2009-11,57,
2009-12,405,
2010-01,24,
2010-02,21,
2010-03,13,
2010-04,25,
2010-05,22,
2010-06,5,
2010-07,13,
2010-08,20,
2010-09,21,
2010-10,22,
2010-11,58,
2010-12,457,
2011-01,30,
2011-02,70,
2011-03,64,
2011-04,19,
2011-05,7,
2011-06,58,
2011-07,53,
2011-08,10,
2011-09,14,
2011-10,16,
2011-11,52,
2011-12,641,
2012-01,46,
2012-02,23,
2012-03,38,
2012-04,40,
2012-05,10,
2012-06,82,
2012-07,20,
2012-08,15,
2012-09,15,
2012-10,51,
2012-11,103,
2012-12,489,
2013-01,47,
2013-02,25,
2013-03,35,
2013-04,62,
2013-05,13,
2013-06,34,
2013-07,47,
2013-08,13,
2013-09,46,
2013-10,46,
2013-11,107,
2013-12,662,
2014-01,50,
2014-02,30,
2014-03,48,
2014-04,55,
2014-05,26,
2014-06,62,
2014-07,18,
2014-08,50,
2014-09,88,
2014-10,45,
2014-11,116,
