"",BBK01.OELL04U,BBK01.OELL04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:04,
2002-01,0.402,
2002-04,0.373,
2002-07,0.374,
2002-10,0.403,
2003-01,0.437,
2003-04,0.409,
2003-07,0.353,
2003-10,0.345,
2004-01,0.364,
2004-04,0.364,
2004-07,0.341,
2004-10,0.447,
2005-01,0.388,
2005-04,0.412,
2005-07,0.397,
2005-10,0.392,
2006-01,0.392,
2006-04,0.392,
2006-07,0.379,
2006-10,0.345,
2007-01,0.369,
2007-04,0.384,
2007-07,0.394,
2007-10,0.401,
2008-01,0.454,
2008-04,0.455,
2008-07,0.375,
2008-10,0.394,
2009-01,0.369,
2009-04,0.329,
2009-07,0.295,
2009-10,0.258,
2010-01,0.187,
2010-04,0.172,
2010-07,0.159,
2010-10,0.137,
2011-01,0.135,
2011-04,0.200,
2011-07,0.199,
2011-10,0.193,
2012-01,0.196,
2012-04,0.159,
2012-07,0.137,
2012-10,0.118,
2013-01,0.110,
2013-04,0.099,
2013-07,0.098,
2013-10,0.093,
2014-01,0.090,
2014-04,0.089,
2014-07,0.082,
