"",BBFN1.M.DE.N.1.L.JP.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.JP.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Japan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:49,
1972-12,0.001,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.006,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,0.037,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,0.034,
1976-01,0.024,
1976-02,0.017,
1976-03,0.019,
1976-04,0.019,
1976-05,0.021,
1976-06,0.024,
1976-07,0.026,
1976-08,0.027,
1976-09,0.026,
1976-10,0.021,
1976-11,0.021,
1976-12,0.018,
1977-01,0.019,
1977-02,0.018,
1977-03,0.020,
1977-04,0.020,
1977-05,0.023,
1977-06,0.027,
1977-07,0.022,
1977-08,0.024,
1977-09,0.024,
1977-10,0.028,
1977-11,0.029,
1977-12,0.028,
1978-01,0.030,
1978-02,0.020,
1978-03,0.017,
1978-04,0.020,
1978-05,0.010,
1978-06,0.011,
1978-07,0.010,
1978-08,0.015,
1978-09,0.019,
1978-10,0.022,
1978-11,0.022,
1978-12,0.025,
1979-01,0.020,
1979-02,0.016,
1979-03,0.017,
1979-04,0.015,
1979-05,0.012,
1979-06,0.013,
1979-07,0.013,
1979-08,0.013,
1979-09,0.016,
1979-10,0.021,
1979-11,0.021,
1979-12,0.022,
1980-01,0.024,
1980-02,0.025,
1980-03,0.027,
1980-04,0.028,
1980-05,0.031,
1980-06,0.031,
1980-07,0.029,
1980-08,0.038,
1980-09,0.046,
1980-10,0.041,
1980-11,0.050,
1980-12,0.054,
1981-01,0.070,
1981-02,0.078,
1981-03,0.086,
1981-04,0.083,
1981-05,0.077,
1981-06,0.078,
1981-07,0.081,
1981-08,0.079,
1981-09,0.078,
1981-10,0.078,
1981-11,0.037,
1981-12,0.039,
1982-01,0.040,
1982-02,0.043,
1982-03,0.045,
1982-04,0.046,
1982-05,0.046,
1982-06,0.044,
1982-07,0.049,
1982-08,0.049,
1982-09,0.048,
1982-10,0.039,
1982-11,0.039,
1982-12,0.039,
1983-01,0.049,
1983-02,0.041,
1983-03,0.042,
1983-04,0.041,
1983-05,0.045,
1983-06,0.048,
1983-07,0.043,
1983-08,0.041,
1983-09,0.048,
1983-10,0.043,
1983-11,0.055,
1983-12,0.059,
1984-01,0.056,
1984-02,0.049,
1984-03,0.036,
1984-04,0.032,
1984-05,0.029,
1984-06,0.029,
1984-07,0.041,
1984-08,0.044,
1984-09,0.055,
1984-10,0.047,
1984-11,0.059,
1984-12,0.053,
1985-01,0.043,
1985-02,0.044,
1985-03,0.038,
1985-04,0.031,
1985-05,0.027,
1985-06,0.027,
1985-07,0.025,
1985-08,0.020,
1985-09,0.011,
1985-10,0.010,
1985-11,0.006,
1985-12,0.016,
1986-01,0.007,
1986-02,0.003,
1986-03,0.006,
1986-04,0.012,
1986-05,0.012,
