"",BBK01.WZ3431,BBK01.WZ3431_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 11.0 years / end of month,
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:18,
1986-06,6.18,
1986-07,6.14,
1986-08,5.95,
1986-09,6.35,
1986-10,6.62,
1986-11,6.25,
1986-12,6.28,
1987-01,6.24,
1987-02,6.42,
1987-03,6.05,
1987-04,6.05,
1987-05,6.09,
1987-06,6.58,
1987-07,6.76,
1987-08,6.93,
1987-09,7.26,
1987-10,6.84,
1987-11,6.74,
1987-12,6.94,
1988-01,7.05,
1988-02,6.71,
1988-03,6.74,
1988-04,7.00,
1988-05,7.17,
1988-06,7.11,
1988-07,7.22,
1988-08,7.13,
1988-09,6.87,
1988-10,6.61,
1988-11,6.80,
1988-12,6.82,
1989-01,6.84,
1989-02,7.04,
1989-03,7.06,
1989-04,6.91,
1989-05,7.07,
1989-06,6.85,
1989-07,6.66,
1989-08,6.86,
1989-09,7.00,
1989-10,7.12,
1989-11,7.37,
1989-12,7.34,
1990-01,7.82,
1990-02,8.71,
1990-03,8.44,
1990-04,8.93,
1990-05,8.81,
1990-06,8.74,
1990-07,8.56,
1990-08,9.01,
1990-09,9.19,
1990-10,8.99,
1990-11,8.78,
1990-12,9.09,
1991-01,8.53,
1991-02,8.26,
1991-03,8.40,
1991-04,8.18,
1991-05,8.14,
1991-06,8.35,
1991-07,8.55,
1991-08,8.24,
1991-09,8.20,
1991-10,8.15,
1991-11,8.03,
1991-12,7.84,
1992-01,7.64,
1992-02,7.61,
1992-03,7.66,
1992-04,7.81,
1992-05,7.78,
1992-06,7.88,
1992-07,7.90,
1992-08,7.82,
1992-09,7.41,
1992-10,7.23,
1992-11,7.17,
1992-12,7.08,
1993-01,6.98,
1993-02,6.74,
1993-03,6.81,
1993-04,6.87,
1993-05,6.94,
1993-06,6.78,
1993-07,6.64,
1993-08,6.30,
1993-09,6.30,
1993-10,6.09,
1993-11,6.09,
1993-12,5.93,
1994-01,6.00,
1994-02,6.57,
1994-03,6.75,
1994-04,7.06,
1994-05,7.37,
1994-06,7.35,
1994-07,7.33,
1994-08,7.61,
1994-09,7.86,
1994-10,7.84,
1994-11,7.66,
1994-12,7.84,
1995-01,7.65,
1995-02,7.55,
1995-03,7.56,
1995-04,7.41,
