"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.NO.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.NO.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Norway,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:18,
2009-09,949,
2009-10,998,
2009-11,1081,
2009-12,1187,
2010-01,1140,
2010-02,1171,
2010-03,1290,
2010-04,1317,
2010-05,1185,
2010-06,1157,
2010-07,1275,
2010-08,1219,
2010-09,1294,
2010-10,1307,
2010-11,1261,
2010-12,1629,
2011-01,1576,
2011-02,1728,
2011-03,1767,
2011-04,1760,
2011-05,1669,
2011-06,1572,
2011-07,1630,
2011-08,1464,
2011-09,1309,
2011-10,1557,
2011-11,1531,
2011-12,1611,
2012-01,1624,
2012-02,1813,
2012-03,1781,
2012-04,1705,
2012-05,1461,
2012-06,1595,
2012-07,1761,
2012-08,1845,
2012-09,1907,
2012-10,1886,
2012-11,1846,
2012-12,1802,
2013-01,1923,
2013-02,1933,
2013-03,1875,
2013-04,1838,
2013-05,1867,
2013-06,1729,
2013-07,1873,
2013-08,1871,
2013-09,1935,
2013-10,2133,
2013-11,2165,
2013-12,2214,
2014-01,2168,
2014-02,2349,
2014-03,2474,
2014-04,2514,
2014-05,2541,
2014-06,2479,
2014-07,2509,
2014-08,2604,
2014-09,2640,
2014-10,2518,
2014-11,2353,
