"",BBK01.OEGB08I,BBK01.OEGB08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:01,
2002-01,35.753,
2002-04,35.671,
2002-07,35.276,
2002-10,35.439,
2003-01,34.355,
2003-04,33.910,
2003-07,36.466,
2003-10,35.318,
2004-01,34.796,
2004-04,34.413,
2004-07,19.545,
2004-10,18.882,
2005-01,18.457,
2005-04,17.964,
2005-07,18.868,
2005-10,18.480,
2006-01,17.362,
2006-04,17.637,
2006-07,18.090,
2006-10,16.183,
2007-01,15.149,
2007-04,14.608,
2007-07,14.222,
2007-10,14.620,
2008-01,14.453,
2008-04,14.002,
2008-07,13.640,
2008-10,13.247,
2009-01,13.123,
2009-04,13.040,
2009-07,12.910,
2009-10,12.722,
2010-01,12.542,
2010-04,12.604,
2010-07,12.677,
2010-10,12.267,
2011-01,12.221,
2011-04,12.218,
2011-07,11.643,
2011-10,11.561,
2012-01,11.731,
2012-04,11.732,
2012-07,11.721,
2012-10,11.592,
2013-01,11.245,
2013-04,11.206,
2013-07,11.102,
2013-10,11.273,
2014-01,11.043,
2014-04,11.147,
2014-07,11.754,
