"",BBK01.OELJ03I,BBK01.OELJ03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:32,
2002-01,0.833,
2002-04,0.999,
2002-07,1.041,
2002-10,0.840,
2003-01,0.961,
2003-04,1.405,
2003-07,0.750,
2003-10,0.726,
2004-01,0.540,
2004-04,0.654,
2004-07,0.745,
2004-10,0.686,
2005-01,0.678,
2005-04,0.576,
2005-07,0.620,
2005-10,1.021,
2006-01,0.657,
2006-04,0.678,
2006-07,0.687,
2006-10,0.565,
2007-01,0.749,
2007-04,0.641,
2007-07,0.742,
2007-10,0.835,
2008-01,0.919,
2008-04,0.842,
2008-07,1.001,
2008-10,0.983,
2009-01,0.922,
2009-04,0.847,
2009-07,0.836,
2009-10,0.590,
2010-01,0.471,
2010-04,0.505,
2010-07,0.477,
2010-10,0.486,
2011-01,0.606,
2011-04,0.548,
2011-07,0.580,
2011-10,0.560,
2012-01,0.627,
2012-04,0.601,
2012-07,0.417,
2012-10,0.327,
2013-01,0.300,
2013-04,0.309,
2013-07,0.218,
2013-10,0.169,
2014-01,0.287,
2014-04,0.285,
2014-07,0.264,
