"",BBK01.OEAF09I,BBK01.OEAF09I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:34,
2002-01,0.507,
2002-04,0.497,
2002-07,0.489,
2002-10,0.494,
2003-01,0.491,
2003-04,0.491,
2003-07,0.529,
2003-10,0.543,
2004-01,0.469,
2004-04,0.481,
2004-07,0.461,
2004-10,0.457,
2005-01,0.463,
2005-04,0.463,
2005-07,0.445,
2005-10,0.433,
2006-01,0.438,
2006-04,0.420,
2006-07,0.416,
2006-10,0.435,
2007-01,0.437,
2007-04,0.427,
2007-07,0.387,
2007-10,0.366,
2008-01,0.360,
2008-04,0.358,
2008-07,0.332,
2008-10,0.310,
2009-01,0.307,
2009-04,0.307,
2009-07,0.303,
2009-10,0.296,
2010-01,0.300,
2010-04,0.295,
2010-07,0.327,
2010-10,0.355,
2011-01,0.336,
2011-04,0.330,
2011-07,0.333,
2011-10,0.331,
2012-01,0.341,
2012-04,0.342,
2012-07,0.342,
2012-10,0.335,
2013-01,0.330,
2013-04,0.332,
2013-07,0.333,
2013-10,0.332,
2014-01,0.328,
2014-04,0.331,
2014-07,0.334,
