"",BBK01.OEAE14I,BBK01.OEAE14I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:23,
2002-01,0.129,
2002-04,0.129,
2002-07,0.135,
2002-10,0.117,
2003-01,0.130,
2003-04,0.125,
2003-07,0.125,
2003-10,0.094,
2004-01,0.080,
2004-04,0.093,
2004-07,0.095,
2004-10,0.079,
2005-01,0.091,
2005-04,0.090,
2005-07,0.081,
2005-10,0.080,
2006-01,0.081,
2006-04,0.076,
2006-07,0.075,
2006-10,0.079,
2007-01,0.075,
2007-04,0.069,
2007-07,0.069,
2007-10,0.071,
2008-01,0.067,
2008-04,0.087,
2008-07,0.092,
2008-10,0.090,
2009-01,0.089,
2009-04,0.091,
2009-07,0.087,
2009-10,0.087,
2010-01,0.074,
2010-04,0.074,
2010-07,0.076,
2010-10,0.061,
2011-01,0.068,
2011-04,0.069,
2011-07,0.063,
2011-10,0.062,
2012-01,0.064,
2012-04,0.062,
2012-07,0.058,
2012-10,0.054,
2013-01,0.066,
2013-04,0.057,
2013-07,0.055,
2013-10,0.053,
2014-01,0.057,
2014-04,0.055,
2014-07,0.056,
