"",BBSF2.M.1.T.00000.DAC01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DAC01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Funds total / Funds-of-funds / Long-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:17,
2009-09,562,
2009-10,579,
2009-11,590,
2009-12,718,
2010-01,770,
2010-02,794,
2010-03,770,
2010-04,749,
2010-05,735,
2010-06,756,
2010-07,873,
2010-08,879,
2010-09,855,
2010-10,854,
2010-11,889,
2010-12,842,
2011-01,859,
2011-02,846,
2011-03,830,
2011-04,802,
2011-05,796,
2011-06,777,
2011-07,964,
2011-08,964,
2011-09,1002,
2011-10,1167,
2011-11,1185,
2011-12,1159,
2012-01,1289,
2012-02,1296,
2012-03,1336,
2012-04,1501,
2012-05,1449,
2012-06,1491,
2012-07,1511,
2012-08,1531,
2012-09,1593,
2012-10,1517,
2012-11,1468,
2012-12,1478,
2013-01,1413,
2013-02,1437,
2013-03,1419,
2013-04,1401,
2013-05,1473,
2013-06,1408,
2013-07,1437,
2013-08,1439,
2013-09,1443,
2013-10,1609,
2013-11,1681,
2013-12,1686,
2014-01,1746,
2014-02,1681,
2014-03,1742,
2014-04,1753,
2014-05,1771,
2014-06,1781,
2014-07,1781,
2014-08,1650,
2014-09,1383,
2014-10,1521,
2014-11,1511,
