"",BBK01.OELO04Q,BBK01.OELO04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:07,
2002-01,-0.082,
2002-04,-0.061,
2002-07,0.107,
2002-10,-0.072,
2003-01,-0.087,
2003-04,0.008,
2003-07,0.114,
2003-10,-0.064,
2004-01,-0.038,
2004-04,-0.034,
2004-07,-0.035,
2004-10,-0.248,
2005-01,-0.015,
2005-04,-0.050,
2005-07,-0.154,
2005-10,-0.294,
2006-01,-0.041,
2006-04,-0.035,
2006-07,-0.075,
2006-10,-0.141,
2007-01,-0.141,
2007-04,-0.100,
2007-07,-0.256,
2007-10,-0.144,
2008-01,-0.106,
2008-04,-0.116,
2008-07,-0.120,
2008-10,-0.012,
2009-01,0.160,
2009-04,0.150,
2009-07,0.165,
2009-10,0.208,
2010-01,0.227,
2010-04,0.196,
2010-07,0.064,
2010-10,0.016,
2011-01,-0.054,
2011-04,-0.062,
2011-07,-0.054,
2011-10,-0.013,
2012-01,0.008,
2012-04,-0.003,
2012-07,0.066,
2012-10,0.055,
2013-01,0.057,
2013-04,0.034,
2013-07,-0.008,
2013-10,0.016,
2014-01,0.016,
2014-04,0.034,
2014-07,0.008,
