"",BBK01.OEAA51M,BBK01.OEAA51M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:58,
2002-01,0.798,
2002-04,0.845,
2002-07,1.026,
2002-10,0.710,
2003-01,0.890,
2003-04,1.491,
2003-07,1.038,
2003-10,0.758,
2004-01,0.903,
2004-04,1.020,
2004-07,1.316,
2004-10,1.339,
2005-01,1.367,
2005-04,1.292,
2005-07,1.076,
2005-10,1.762,
2006-01,1.324,
2006-04,1.516,
2006-07,1.727,
2006-10,1.632,
2007-01,1.411,
2007-04,1.307,
2007-07,1.430,
2007-10,2.323,
2008-01,2.813,
2008-04,3.027,
2008-07,3.093,
2008-10,3.570,
2009-01,3.087,
2009-04,2.722,
2009-07,2.298,
2009-10,2.414,
2010-01,3.430,
2010-04,2.121,
2010-07,2.234,
2010-10,2.002,
2011-01,2.137,
2011-04,2.576,
2011-07,2.489,
2011-10,2.293,
2012-01,2.900,
2012-04,2.446,
2012-07,2.151,
2012-10,1.497,
2013-01,1.787,
2013-04,1.787,
2013-07,1.729,
2013-10,1.456,
2014-01,2.276,
2014-04,2.092,
2014-07,1.715,
