"",BBK01.OELM02P,BBK01.OELM02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:35,
2002-01,0.012,
2002-04,0.019,
2002-07,0.025,
2002-10,0.011,
2003-01,0.019,
2003-04,0.010,
2003-07,0.013,
2003-10,0.016,
2004-01,0.021,
2004-04,0.018,
2004-07,0.029,
2004-10,0.015,
2005-01,0.028,
2005-04,0.023,
2005-07,0.022,
2005-10,0.020,
2006-01,0.027,
2006-04,0.034,
2006-07,0.031,
2006-10,0.028,
2007-01,0.034,
2007-04,0.034,
2007-07,0.032,
2007-10,0.071,
2008-01,0.053,
2008-04,0.052,
2008-07,0.079,
2008-10,0.086,
2009-01,0.103,
2009-04,0.092,
2009-07,0.122,
2009-10,0.151,
2010-01,0.131,
2010-04,0.145,
2010-07,0.156,
2010-10,0.211,
2011-01,0.163,
2011-04,0.180,
2011-07,0.205,
2011-10,0.209,
2012-01,0.181,
2012-04,0.278,
2012-07,0.298,
2012-10,0.356,
2013-01,0.200,
2013-04,0.246,
2013-07,0.214,
2013-10,0.301,
2014-01,0.227,
2014-04,0.227,
2014-07,0.169,
