"",BBK01.OEAH02T,BBK01.OEAH02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:40,
2002-01,7.848,
2002-04,8.162,
2002-07,8.384,
2002-10,8.860,
2003-01,8.553,
2003-04,8.468,
2003-07,8.499,
2003-10,8.870,
2004-01,8.665,
2004-04,8.676,
2004-07,8.736,
2004-10,9.218,
2005-01,9.246,
2005-04,9.286,
2005-07,9.443,
2005-10,9.773,
2006-01,9.420,
2006-04,9.715,
2006-07,9.342,
2006-10,9.994,
2007-01,9.732,
2007-04,9.661,
2007-07,9.756,
2007-10,10.279,
2008-01,9.811,
2008-04,9.826,
2008-07,9.801,
2008-10,11.104,
2009-01,11.572,
2009-04,12.252,
2009-07,12.938,
2009-10,13.830,
2010-01,13.475,
2010-04,13.797,
2010-07,13.877,
2010-10,14.750,
2011-01,13.756,
2011-04,13.886,
2011-07,14.496,
2011-10,14.528,
2012-01,13.920,
2012-04,13.909,
2012-07,14.418,
2012-10,15.240,
2013-01,14.861,
2013-04,15.228,
2013-07,15.719,
2013-10,16.369,
2014-01,16.088,
2014-04,15.987,
2014-07,16.654,
