"",BBSF2.M.1.P.00000.TOT01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.TOT01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Public funds / Funds total / Short-term debt securities,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:49,
1993-04,840,
1993-05,745,
1993-06,691,
1993-07,429,
1993-08,563,
1993-09,401,
1993-10,542,
1993-11,813,
1993-12,111,
1994-01,147,
1994-02,136,
1994-03,318,
1994-04,252,
1994-05,471,
1994-06,389,
1994-07,379,
1994-08,406,
1994-09,859,
1994-10,571,
1994-11,280,
1994-12,189,
1995-01,158,
1995-02,107,
1995-03,69,
1995-04,68,
1995-05,123,
1995-06,143,
1995-07,166,
1995-08,132,
1995-09,158,
1995-10,71,
1995-11,56,
1995-12,60,
1996-01,94,
1996-02,237,
1996-03,274,
1996-04,111,
1996-05,106,
1996-06,306,
1996-07,82,
1996-08,30,
1996-09,29,
1996-10,39,
1996-11,30,
1996-12,53,
1997-01,53,
1997-02,56,
1997-03,85,
1997-04,168,
1997-05,122,
1997-06,84,
1997-07,80,
1997-08,77,
1997-09,82,
1997-10,74,
1997-11,88,
1997-12,125,
1998-01,129,
1998-02,110,
1998-03,160,
1998-04,239,
1998-05,204,
1998-06,296,
1998-07,282,
1998-08,160,
1998-09,178,
1998-10,153,
1998-11,152,
1998-12,154,
1999-01,132,
1999-02,132,
1999-03,199,
1999-04,201,
1999-05,170,
1999-06,132,
1999-07,25,
1999-08,149,
1999-09,129,
1999-10,163,
1999-11,150,
1999-12,133,
2000-01,109,
2000-02,20,
2000-03,26,
2000-04,61,
2000-05,23,
2000-06,95,
2000-07,103,
2000-08,104,
2000-09,84,
2000-10,77,
2000-11,18,
2000-12,21,
2001-01,48,
2001-02,39,
2001-03,41,
2001-04,39,
2001-05,33,
2001-06,54,
2001-07,13,
2001-08,23,
2001-09,21,
2001-10,49,
2001-11,39,
2001-12,27,
2002-01,27,
2002-02,42,
2002-03,110,
2002-04,134,
2002-05,117,
2002-06,40,
2002-07,49,
2002-08,26,
2002-09,32,
2002-10,34,
2002-11,41,
2002-12,48,
2003-01,32,
2003-02,65,
2003-03,22,
2003-04,72,
2003-05,98,
2003-06,103,
2003-07,125,
2003-08,137,
2003-09,86,
2003-10,33,
2003-11,30,
2003-12,40,
2004-01,86,
2004-02,48,
2004-03,41,
2004-04,40,
2004-05,69,
2004-06,77,
2004-07,104,
2004-08,83,
2004-09,107,
2004-10,87,
2004-11,34,
2004-12,112,
2005-01,82,
2005-02,140,
2005-03,183,
2005-04,160,
2005-05,215,
2005-06,248,
2005-07,256,
2005-08,249,
2005-09,200,
2005-10,142,
2005-11,139,
2005-12,152,
2006-01,146,
2006-02,166,
2006-03,173,
2006-04,220,
2006-05,474,
2006-06,629,
2006-07,496,
2006-08,488,
2006-09,384,
2006-10,661,
2006-11,614,
2006-12,564,
2007-01,593,
2007-02,580,
2007-03,614,
2007-04,552,
2007-05,539,
2007-06,564,
2007-07,618,
2007-08,626,
2007-09,627,
2007-10,801,
2007-11,725,
2007-12,721,
2008-01,1094,
2008-02,904,
2008-03,895,
2008-04,975,
2008-05,1178,
2008-06,1124,
2008-07,1234,
2008-08,1334,
2008-09,1144,
2008-10,672,
2008-11,619,
2008-12,517,
2009-01,500,
2009-02,413,
2009-03,377,
2009-04,367,
2009-05,366,
2009-06,311,
2009-07,329,
2009-08,293,
2009-09,4313,
2009-10,4407,
2009-11,4877,
2009-12,3735,
2010-01,4790,
2010-02,5046,
2010-03,5050,
2010-04,5074,
2010-05,5170,
2010-06,5026,
2010-07,5140,
2010-08,5110,
2010-09,4970,
2010-10,4432,
2010-11,4661,
2010-12,4575,
2011-01,3240,
2011-02,2891,
2011-03,3055,
2011-04,2704,
2011-05,2910,
2011-06,2789,
2011-07,2908,
2011-08,2497,
2011-09,2555,
2011-10,2638,
2011-11,2819,
2011-12,2604,
2012-01,2421,
2012-02,2491,
2012-03,2391,
2012-04,2486,
2012-05,1843,
2012-06,1802,
2012-07,1838,
2012-08,1744,
2012-09,1753,
2012-10,1831,
2012-11,1636,
2012-12,1669,
2013-01,1434,
2013-02,1436,
2013-03,1446,
2013-04,1695,
2013-05,1807,
2013-06,2050,
2013-07,2190,
2013-08,2049,
2013-09,2095,
2013-10,2130,
2013-11,1900,
2013-12,1857,
2014-01,1865,
2014-02,1880,
2014-03,1717,
2014-04,1565,
2014-05,1464,
2014-06,1493,
2014-07,1457,
2014-08,1262,
2014-09,1201,
2014-10,1327,
2014-11,1511,
