"",BBK01.OEAA37R,BBK01.OEAA37R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:46,
2002-01,6.119,
2002-04,6.174,
2002-07,6.235,
2002-10,6.373,
2003-01,6.328,
2003-04,6.387,
2003-07,6.426,
2003-10,6.435,
2004-01,6.383,
2004-04,6.391,
2004-07,6.392,
2004-10,6.386,
2005-01,7.078,
2005-04,7.111,
2005-07,7.124,
2005-10,7.105,
2006-01,7.068,
2006-04,7.192,
2006-07,7.276,
2006-10,7.250,
2007-01,7.258,
2007-04,7.324,
2007-07,7.350,
2007-10,7.368,
2008-01,7.261,
2008-04,7.186,
2008-07,7.257,
2008-10,7.243,
2009-01,7.162,
2009-04,7.514,
2009-07,7.530,
2009-10,7.568,
2010-01,7.559,
2010-04,7.583,
2010-07,7.626,
2010-10,7.668,
2011-01,7.659,
2011-04,7.670,
2011-07,7.716,
2011-10,7.778,
2012-01,7.793,
2012-04,7.934,
2012-07,8.028,
2012-10,8.061,
2013-01,8.065,
2013-04,8.153,
2013-07,8.238,
2013-10,8.274,
2014-01,8.296,
2014-04,8.356,
2014-07,8.447,
