"",BBFB1.Q.N.DE.B5.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:23,
1991-01,10422.311,
1991-04,11508.277,
1991-07,13995.644,
1991-10,10720.215,
1992-01,11516.301,
1992-04,12730.920,
1992-07,15079.947,
1992-10,12114.217,
1993-01,11552.550,
1993-04,13320.863,
1993-07,15795.666,
1993-10,12147.977,
1994-01,12227.622,
1994-04,14044.403,
1994-07,16975.710,
1994-10,12863.001,
1995-01,13671.568,
1995-04,14563.173,
1995-07,17557.418,
1995-10,13591.667,
1996-01,13653.764,
1996-04,15562.689,
1996-07,18677.325,
1996-10,14577.226,
1997-01,14615.791,
1997-04,16704.944,
1997-07,20176.059,
1997-10,16096.732,
1998-01,15427.299,
1998-04,17790.240,
1998-07,21381.598,
1998-10,17162.889,
1999-01,16406.325,
1999-04,19884.668,
1999-07,23811.229,
1999-10,20170.933,
2000-01,19144.020,
2000-04,21946.186,
2000-07,26194.502,
2000-10,22441.303,
2001-01,21539.063,
2001-04,23781.069,
2001-07,27662.441,
2001-10,22147.343,
2002-01,21374.343,
2002-04,23221.441,
2002-07,27433.853,
2002-10,21894.879,
2003-01,20612.608,
2003-04,23633.035,
2003-07,29249.644,
2003-10,21891.081,
2004-01,21305.580,
2004-04,24568.990,
2004-07,28013.715,
2004-10,22646.090,
2005-01,21819.150,
2005-04,24374.099,
2005-07,29984.590,
2005-10,24129.720,
2006-01,23160.041,
2006-04,25921.011,
2006-07,30905.397,
2006-10,25039.064,
2007-01,24733.520,
2007-04,27362.165,
2007-07,32990.953,
2007-10,26800.952,
2008-01,25414.117,
2008-04,28637.730,
2008-07,34174.229,
2008-10,27541.277,
2009-01,23703.318,
2009-04,26030.437,
2009-07,31472.058,
2009-10,25801.803,
2010-01,23964.979,
2010-04,28508.858,
2010-07,33615.666,
2010-10,28505.077,
2011-01,26771.245,
2011-04,30270.665,
2011-07,35858.538,
2011-10,29615.626,
2012-01,27694.923,
2012-04,31013.927,
2012-07,37379.207,
2012-10,30699.743,
2013-01,30474.078,
2013-04,34002.496,
2013-07,40645.100,
2013-10,33883.391,
2014-01,30653.228,Provisional value
2014-04,34468.573,Provisional value
2014-07,42320.897,Provisional value
