"",BBK01.OEAF39K,BBK01.OEAF39K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:10,
2002-01,0.368,
2002-04,0.364,
2002-07,0.369,
2002-10,0.367,
2003-01,0.366,
2003-04,0.354,
2003-07,0.348,
2003-10,0.344,
2004-01,0.302,
2004-04,0.333,
2004-07,0.332,
2004-10,0.331,
2005-01,0.329,
2005-04,0.327,
2005-07,0.326,
2005-10,0.286,
2006-01,0.285,
2006-04,0.288,
2006-07,0.291,
2006-10,0.295,
2007-01,0.285,
2007-04,0.287,
2007-07,0.287,
2007-10,0.286,
2008-01,0.290,
2008-04,0.294,
2008-07,0.296,
2008-10,0.296,
2009-01,0.298,
2009-04,0.298,
2009-07,0.298,
2009-10,0.294,
2010-01,0.288,
2010-04,0.291,
2010-07,0.299,
2010-10,0.293,
2011-01,0.295,
2011-04,0.296,
2011-07,0.293,
2011-10,0.292,
2012-01,0.292,
2012-04,0.290,
2012-07,0.288,
2012-10,0.290,
2013-01,0.290,
2013-04,0.287,
2013-07,0.284,
2013-10,0.283,
2014-01,0.282,
2014-04,0.283,
2014-07,0.282,
