"",BBK01.OELB04M,BBK01.OELB04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:06,
2002-01,20.062,
2002-04,20.396,
2002-07,20.735,
2002-10,21.121,
2003-01,21.124,
2003-04,21.453,
2003-07,21.869,
2003-10,22.266,
2004-01,22.342,
2004-04,22.593,
2004-07,22.867,
2004-10,23.238,
2005-01,23.285,
2005-04,23.564,
2005-07,23.905,
2005-10,24.299,
2006-01,24.477,
2006-04,24.950,
2006-07,25.274,
2006-10,25.529,
2007-01,25.567,
2007-04,25.784,
2007-07,26.054,
2007-10,26.243,
2008-01,26.266,
2008-04,26.519,
2008-07,26.891,
2008-10,27.052,
2009-01,27.205,
2009-04,27.585,
2009-07,27.983,
2009-10,28.477,
2010-01,28.672,
2010-04,29.238,
2010-07,29.860,
2010-10,30.494,
2011-01,30.806,
2011-04,31.364,
2011-07,31.893,
2011-10,32.489,
2012-01,32.772,
2012-04,35.041,
2012-07,35.566,
2012-10,35.984,
2013-01,36.111,
2013-04,36.503,
2013-07,36.911,
2013-10,37.341,
2014-01,37.632,
2014-04,38.109,
2014-07,38.711,
