"",BBFB1.Q.N.DE.KR.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.KR.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Korea, Republic of",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:03,
1991-01,15.062,
1991-04,86.354,
1991-07,11.693,
1991-10,-31.349,
1992-01,71.355,
1992-04,104.191,
1992-07,-2.186,
1992-10,20.828,
1993-01,-26.325,
1993-04,-13.459,
1993-07,35.175,
1993-10,58.526,
1994-01,21.908,
1994-04,27.923,
1994-07,72.133,
1994-10,22.810,
1995-01,197.208,
1995-04,-4.059,
1995-07,51.658,
1995-10,301.132,
1996-01,54.704,
1996-04,31.047,
1996-07,131.403,
1996-10,209.748,
1997-01,351.412,
1997-04,267.049,
1997-07,215.415,
1997-10,41.081,
1998-01,28.954,
1998-04,70.707,
1998-07,-86.160,
1998-10,-107.355,
1999-01,42.737,
1999-04,109.369,
1999-07,-72.375,
1999-10,-472.874,
2000-01,149.183,
2000-04,-67.641,
2000-07,-62.314,
2000-10,353.504,
2001-01,-118.930,
2001-04,-86.415,
2001-07,162.595,
2001-10,139.219,
2002-01,-39.783,
2002-04,-32.895,
2002-07,220.135,
2002-10,-114.620,
2003-01,-8.113,
2003-04,6.835,
2003-07,112.032,
2003-10,82.707,
2004-01,27.144,
2004-04,131.064,
2004-07,229.711,
2004-10,-964.396,
2005-01,437.826,
2005-04,-304.369,
2005-07,75.750,
2005-10,-516.327,
2006-01,1323.349,
2006-04,-155.001,
2006-07,-61.507,
2006-10,152.776,
2007-01,73.210,
2007-04,-41.562,
2007-07,-202.481,
2007-10,-109.468,
2008-01,-27.380,
2008-04,246.690,
2008-07,-90.232,
2008-10,-485.499,
2009-01,-91.114,
2009-04,132.020,
2009-07,54.704,
2009-10,33.445,
2010-01,1.627,
2010-04,39.038,
2010-07,123.189,
2010-10,1726.110,
2011-01,-121.096,
2011-04,-10.738,
2011-07,-19.133,
2011-10,74.331,
2012-01,129.153,
2012-04,69.411,
2012-07,382.813,
2012-10,-245.725,
2013-01,112.152,
2013-04,-20.397,
2013-07,764.529,
2013-10,282.625,
2014-01,160.405,Provisional value
2014-04,28.339,Provisional value
2014-07,-177.619,Provisional value
2014-10,-103.964,Provisional value
