"",BBK01.OEXI06H,BBK01.OEXI06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:00,
2002-01,1.029,
2002-04,1.087,
2002-07,1.101,
2002-10,1.103,
2003-01,1.078,
2003-04,1.063,
2003-07,1.022,
2003-10,0.958,
2004-01,0.931,
2004-04,0.499,
2004-07,0.495,
2004-10,0.450,
2005-01,0.518,
2005-04,0.510,
2005-07,0.525,
2005-10,0.530,
2006-01,0.553,
2006-04,0.570,
2006-07,0.637,
2006-10,0.662,
2007-01,0.699,
2007-04,0.734,
2007-07,0.750,
2007-10,0.864,
2008-01,1.022,
2008-04,1.163,
2008-07,1.249,
2008-10,1.470,
2009-01,1.689,
2009-04,1.501,
2009-07,1.367,
2009-10,1.264,
2010-01,1.287,
2010-04,1.554,
2010-07,1.717,
2010-10,1.848,
2011-01,1.967,
2011-04,2.175,
2011-07,2.336,
2011-10,2.275,
2012-01,2.271,
2012-04,2.312,
2012-07,2.252,
2012-10,2.148,
2013-01,1.941,
2013-04,1.666,
2013-07,1.601,
2013-10,1.605,
2014-01,1.559,
2014-04,1.537,
2014-07,1.416,
