"",BBFN1.M.DE.N.1.A.ES.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ES.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
2009-02,1.580,
2009-03,1.673,
2009-04,1.644,
2009-05,1.641,
2009-06,1.703,
2009-07,1.753,
2009-08,1.601,
2009-09,1.611,
2009-10,1.623,
2009-11,1.624,
2009-12,1.624,
2010-01,1.624,
2010-02,1.644,
2010-03,1.566,
2010-04,1.611,
2010-05,1.596,
2010-06,1.625,
2010-07,1.630,
2010-08,1.630,
2010-09,1.953,
2010-10,1.963,
2010-11,2.065,
2010-12,2.110,
2011-01,2.134,
2011-02,2.234,
2011-03,2.231,
2011-04,2.261,
2011-05,2.316,
2011-06,2.316,
2011-07,2.322,
2011-08,2.305,
2011-09,2.306,
2011-10,2.306,
2011-11,2.156,
2011-12,2.155,
2012-01,2.158,
2012-02,2.151,
2012-03,2.156,
2012-04,2.156,
2012-05,2.161,
2012-06,2.161,
2012-07,2.157,
2012-08,2.162,
2012-09,2.162,
2012-10,2.157,
2012-11,2.132,
2012-12,2.113,
2013-01,2.143,
2013-02,2.023,
2013-03,1.863,
2013-04,1.744,
2013-05,1.724,
2013-06,1.724,
2013-07,1.738,
2013-08,1.732,
2013-09,1.738,
2013-10,1.743,
2013-11,1.743,
2013-12,1.744,
2014-01,1.904,
2014-02,1.896,
2014-03,1.896,
2014-04,1.896,
2014-05,1.896,
2014-06,1.746,
2014-07,1.747,
2014-08,1.737,
2014-09,1.746,
2014-10,1.746,
2014-11,1.746,
2014-12,1.667,
