"",BBK01.OEAE18V,BBK01.OEAE18V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:40,
2002-01,0.223,
2002-04,0.207,
2002-07,0.203,
2002-10,0.183,
2003-01,0.189,
2003-04,0.237,
2003-07,0.149,
2003-10,0.192,
2004-01,0.158,
2004-04,0.141,
2004-07,0.138,
2004-10,0.134,
2005-01,0.128,
2005-04,0.147,
2005-07,0.124,
2005-10,0.123,
2006-01,0.195,
2006-04,0.100,
2006-07,0.093,
2006-10,0.098,
2007-01,0.109,
2007-04,0.097,
2007-07,0.089,
2007-10,0.102,
2008-01,0.150,
2008-04,0.137,
2008-07,0.140,
2008-10,0.153,
2009-01,0.151,
2009-04,0.060,
2009-07,0.060,
2009-10,0.055,
2010-01,0.061,
2010-04,0.069,
2010-07,0.067,
2010-10,0.082,
2011-01,0.064,
2011-04,0.066,
2011-07,0.064,
2011-10,0.053,
2012-01,0.065,
2012-04,0.059,
2012-07,0.061,
2012-10,0.058,
2013-01,0.051,
2013-04,0.045,
2013-07,0.041,
2013-10,0.041,
2014-01,0.044,
2014-04,0.043,
2014-07,0.040,
